team_abbr,pitcher_name,hand,day,opponent,confirmed,source,canonical_id
BC,A. Colarusso,LHP,fri,North Carolina,yes,d1baseball,BSB_BOSTON_COLLEGE
BC,T. Mudd,LHP,sat,North Carolina,yes,d1baseball,BSB_BOSTON_COLLEGE
BC,B. Miller,LHP,sun,North Carolina,yes,d1baseball,BSB_BOSTON_COLLEGE
CAL,O. Espinoza,RHP,fri,Georgia Tech,yes,d1baseball,NCAA_614572
CAL,O. Torre,RHP,sat,Georgia Tech,yes,d1baseball,NCAA_614572
CAL,G. Eddy,RHP,sun,Georgia Tech,yes,d1baseball,NCAA_614572
CLEM,A. Knaak,RHP,fri,Stanford,unconfirmed,d1baseball,BSB_CLEMSON
CLEM,M. Sharman,LHP,sat,Stanford,unconfirmed,d1baseball,BSB_CLEMSON
CLEM,D. Titsworth,RHP,sun,Stanford,unconfirmed,d1baseball,BSB_CLEMSON
DUKE,P. Lemke,RHP,fri,Louisville,yes,d1baseball,BSB_DUKE
DUKE,A. Weaver,RHP,sat,Louisville,yes,d1baseball,BSB_DUKE
DUKE,A. Leon,RHP,sun,Louisville,yes,d1baseball,BSB_DUKE
FSU,W. Mendes,LHP,fri,Virginia,yes,d1baseball,NCAA_614606
FSU,T. Beard,LHP,sat,Virginia,yes,d1baseball,NCAA_614606
FSU,B. Moore,RHP,sun,Virginia,yes,d1baseball,NCAA_614606
GT,T. McKee,RHP,fri,California,yes,d1baseball,BSB_GEORGIA_TECH
GT,P. Buursema,RHP,sat,California,yes,d1baseball,BSB_GEORGIA_TECH
GT,J. Blakely,RHP,sun,California,yes,d1baseball,BSB_GEORGIA_TECH
LOU,W. Danilowicz,LHP,sat,Duke,yes,d1baseball,BSB_LOUISVILLE
LOU,C. Hartman,LHP,sun,Duke,yes,d1baseball,BSB_LOUISVILLE
MIA,S. Santos-Olson,LHP,fri,Virginia Tech,unconfirmed,d1baseball,NCAA_614662
MIA,R. Evans,LHP,sat,Virginia Tech,unconfirmed,d1baseball,NCAA_614662
MIA,L. Collera,RHP,sun,Virginia Tech,unconfirmed,d1baseball,NCAA_614662
UNC,J. DeCaro,RHP,fri,Boston College,yes,d1baseball,BSB_NORTH_CAROLINA
UNC,R. Lynch,RHP,sat,Boston College,yes,d1baseball,BSB_NORTH_CAROLINA
UNC,F. Boaz,LHP,sun,Boston College,yes,d1baseball,BSB_NORTH_CAROLINA
NCST,R. Marohn,LHP,fri,Notre Dame,yes,d1baseball,BSB_NC_STATE
NCST,J. Dudan,RHP,sun,Notre Dame,yes,d1baseball,BSB_NC_STATE
ND,C. Crowell,RHP,fri,NC State,yes,d1baseball,BSB_NOTRE_DAME
ND,J. Radel,RHP,sat,NC State,yes,d1baseball,BSB_NOTRE_DAME
ND,T. Uber,LHP,sun,NC State,yes,d1baseball,BSB_NOTRE_DAME
PITT,D. Leslie,RHP,fri,Wake Forest,unconfirmed,d1baseball,NCAA_614710
PITT,V. Spizzoucco,LHP,sat,Wake Forest,unconfirmed,d1baseball,NCAA_614710
PITT,D. Lafferty,RHP,sun,Wake Forest,unconfirmed,d1baseball,NCAA_614710
STAN,Q. Marsh,LHP,fri,Clemson,unconfirmed,d1baseball,BSB_STANFORD
STAN,S. Garewal,LHP,sat,Clemson,unconfirmed,d1baseball,BSB_STANFORD
STAN,A. Shaw,LHP,sun,Clemson,unconfirmed,d1baseball,BSB_STANFORD
UVA,K. Johnson,LHP,fri,Florida State,yes,d1baseball,BSB_VIRGINIA
UVA,M. Stammel,LHP,sat,Florida State,yes,d1baseball,BSB_VIRGINIA
UVA,J. Paone,RHP,sun,Florida State,yes,d1baseball,BSB_VIRGINIA
VT,B. Yagesh,LHP,fri,Miami,unconfirmed,d1baseball,BSB_VIRGINIA_TECH
VT,B. Renfrow,RHP,sat,Miami,unconfirmed,d1baseball,BSB_VIRGINIA_TECH
VT,G. Stieg,RHP,sun,Miami,unconfirmed,d1baseball,BSB_VIRGINIA_TECH
WF,C. Bagwell,RHP,fri,Pittsburgh,unconfirmed,d1baseball,BSB_WAKE_FOREST
WF,C. Levonas,RHP,sat,Pittsburgh,unconfirmed,d1baseball,BSB_WAKE_FOREST
WF,T. Dressler,RHP,sun,Pittsburgh,unconfirmed,d1baseball,BSB_WAKE_FOREST
NEB,T. Horn,RHP,fri,Penn State,unconfirmed,d1baseball,BSB_NEBRASKA
NEB,C. Jasa,RHP,sat,Penn State,unconfirmed,d1baseball,BSB_NEBRASKA
NEB,C. Katskee,RHP,sun,Penn State,unconfirmed,d1baseball,BSB_NEBRASKA
ILL,B. Plumley,RHP,fri,Purdue,unconfirmed,d1baseball,BSB_ILLINOIS
ILL,R. Hall,LHP,sat,Purdue,unconfirmed,d1baseball,BSB_ILLINOIS
ILL,A. Flinn,LHP,sun,Purdue,unconfirmed,d1baseball,BSB_ILLINOIS
IND,R. Rivera,RHP,fri,Rutgers,unconfirmed,d1baseball,BSB_INDIANA
IND,T. Neubeck,LHP,sat,Rutgers,unconfirmed,d1baseball,BSB_INDIANA
IND,B. Thomas,LHP,sun,Rutgers,unconfirmed,d1baseball,BSB_INDIANA
IOWA,J. Bleeker,RHP,fri,Minnesota,unconfirmed,d1baseball,BSB_IOWA
IOWA,L. Runde,RHP,sat,Minnesota,unconfirmed,d1baseball,BSB_IOWA
UMD,L. Williams,RHP,fri,Ohio State,unconfirmed,d1baseball,BSB_MARYLAND
UMD,E. Smith,LHP,sat,Ohio State,unconfirmed,d1baseball,BSB_MARYLAND
UMD,J. Yeager,RHP,sun,Ohio State,unconfirmed,d1baseball,BSB_MARYLAND
MSU,A. Donovan,RHP,fri,Northwestern,unconfirmed,d1baseball,NCAA_614662
MSU,C. Monke,RHP,sat,Northwestern,unconfirmed,d1baseball,NCAA_614662
MINN,C. Selvig,RHP,fri,Iowa,unconfirmed,d1baseball,BSB_MINNESOTA
MINN,I. Morton,RHP,sat,Iowa,unconfirmed,d1baseball,BSB_MINNESOTA
MINN,M. Kruzan,RHP,sun,Iowa,unconfirmed,d1baseball,BSB_MINNESOTA
NW,G. Shearer,RHP,fri,Michigan State,unconfirmed,d1baseball,BSB_NORTHWESTERN
NW,M. Kouser,RHP,sat,Michigan State,unconfirmed,d1baseball,BSB_NORTHWESTERN
OSU,G. Kuzniewski,RHP,fri,Maryland,unconfirmed,d1baseball,NCAA_614700
OSU,C. Domke,RHP,sat,Maryland,unconfirmed,d1baseball,NCAA_614700
OSU,P. Herrenbruck,RHP,sun,Maryland,unconfirmed,d1baseball,NCAA_614700
ORE,W. Sanford,RHP,fri,Michigan,yes,d1baseball,BSB_OREGON
ORE,C. Clarke,RHP,sat,Michigan,yes,d1baseball,BSB_OREGON
ORE,C. Scolari,RHP,sun,Michigan,yes,d1baseball,BSB_OREGON
PSU,C. Fitzgerald,RHP,fri,Nebraska,unconfirmed,d1baseball,NCAA_614708
PSU,B. Hudson,RHP,sat,Nebraska,unconfirmed,d1baseball,NCAA_614708
PSU,I. Shayter,RHP,sun,Nebraska,unconfirmed,d1baseball,NCAA_614708
PUR,C. Assen,RHP,fri,Illinois,unconfirmed,d1baseball,BSB_PURDUE
PUR,Z. Erdman,LHP,sat,Illinois,unconfirmed,d1baseball,BSB_PURDUE
UCLA,L. Reddemann,RHP,fri,USC,unconfirmed,d1baseball,BSB_UCLA
UCLA,M. Barnett,RHP,sat,USC,unconfirmed,d1baseball,BSB_UCLA
USC,M. Edwards,LHP,fri,UCLA,unconfirmed,d1baseball,NCAA_614774
USC,G. Govel,RHP,sat,UCLA,unconfirmed,d1baseball,NCAA_614774
USC,A. Johnson,RHP,sun,UCLA,unconfirmed,d1baseball,NCAA_614774
WASH,N. Kenney,RHP,fri,Valparaiso,unconfirmed,d1baseball,BSB_WASHINGTON
WASH,G. Nichols,RHP,sat,Valparaiso,unconfirmed,d1baseball,BSB_WASHINGTON
WASH,H. Lewis,RHP,sun,Valparaiso,unconfirmed,d1baseball,BSB_WASHINGTON
ARIZ,O. Kramkowski,RHP,fri,Arizona State,yes,d1baseball,BSB_ARIZONA
ARIZ,S. Bailey,RHP,sat,Arizona State,yes,d1baseball,BSB_ARIZONA
ARIZ,L. Fladda,LHP,sun,Arizona State,yes,d1baseball,BSB_ARIZONA
ASU,T. Penn,RHP,fri,Arizona,yes,d1baseball,NCAA_614853
ASU,C. Carlon,LHP,sat,Arizona,yes,d1baseball,NCAA_614853
ASU,K. Klecker,RHP,sun,Arizona,yes,d1baseball,NCAA_614853
BAY,L. Davenport,RHP,fri,BYU,yes,d1baseball,BSB_BAYLOR
BAY,Z. Wallace,RHP,sat,BYU,yes,d1baseball,BSB_BAYLOR
BYU,J. Reiser,LHP,fri,Baylor,yes,d1baseball,BSB_BYU
BYU,W. Crane,LHP,sat,Baylor,yes,d1baseball,BSB_BYU
BYU,C. Bell,RHP,sun,Baylor,yes,d1baseball,BSB_BYU
CIN,N. Taylor,RHP,fri,Oklahoma State,unconfirmed,d1baseball,BSB_CINCINNATI
CIN,A. Brouwer,RHP,sat,Oklahoma State,unconfirmed,d1baseball,BSB_CINCINNATI
HOU,C. Udland,RHP,fri,Texas Tech,yes,d1baseball,BSB_HOUSTON
HOU,K. Hoffman,RHP,sat,Texas Tech,yes,d1baseball,BSB_HOUSTON
HOU,P. Schmitz,RHP,sun,Texas Tech,yes,d1baseball,BSB_HOUSTON
KAN,B. Rahe,RHP,fri,Utah,yes,d1baseball,BSB_KANSAS
KAN,M. Nayral,RHP,sat,Utah,yes,d1baseball,BSB_KANSAS
KAN,D. Voegele,RHP,sun,Utah,yes,d1baseball,BSB_KANSAS
KSU,J. Guyette,RHP,fri,TCU,unconfirmed,d1baseball,NCAA_614635
KSU,L. Sheffield,LHP,sat,TCU,unconfirmed,d1baseball,NCAA_614635
KSU,T. Duke,RHP,sun,TCU,unconfirmed,d1baseball,NCAA_614635
OKST,E. Lund,LHP,fri,Cincinnati,unconfirmed,d1baseball,NCAA_614701
OKST,M. Pesca,RHP,sat,Cincinnati,unconfirmed,d1baseball,NCAA_614701
OKST,H. Barrett,LHP,sun,Cincinnati,unconfirmed,d1baseball,NCAA_614701
TCU,M. Brassfield,LHP,fri,Kansas State,unconfirmed,d1baseball,BSB_TCU
TCU,L. Davis,RHP,sat,Kansas State,unconfirmed,d1baseball,BSB_TCU
TTU,L. Pirko,RHP,fri,Houston,yes,d1baseball,BSB_TEXAS_TECH
TTU,C. Mohan,RHP,sat,Houston,yes,d1baseball,BSB_TEXAS_TECH
TTU,J. Burns,RHP,sun,Houston,yes,d1baseball,BSB_TEXAS_TECH
UCF,B. Smith,RHP,fri,West Virginia,unconfirmed,d1baseball,BSB_UCF
UCF,M. Sauser,RHP,sat,West Virginia,unconfirmed,d1baseball,BSB_UCF
UCF,C. Wicker,RHP,sun,West Virginia,unconfirmed,d1baseball,BSB_UCF
UTAH,C. McAnelly,RHP,fri,Kansas,yes,d1baseball,BSB_UTAH
UTAH,P. Riske,RHP,sat,Kansas,yes,d1baseball,BSB_UTAH
WVU,D. Montesa,RHP,fri,UCF,unconfirmed,d1baseball,BSB_WEST_VIRGINIA
WVU,M. Yehl,LHP,sat,UCF,unconfirmed,d1baseball,BSB_WEST_VIRGINIA
WVU,C. Cole,RHP,sun,UCF,unconfirmed,d1baseball,BSB_WEST_VIRGINIA
ALA,T. Fay,RHP,fri,Oklahoma,yes,d1baseball,BSB_ALABAMA
ALA,Z. Adams,LHP,sat,Oklahoma,yes,d1baseball,BSB_ALABAMA
ALA,M. Upchurch,RHP,sun,Oklahoma,yes,d1baseball,BSB_ALABAMA
ARK,G. Gaeckle,RHP,fri,Auburn,yes,d1baseball,BSB_ARKANSAS
AUB,A. Alvarez,RHP,fri,Arkansas,yes,d1baseball,BSB_AUBURN
AUB,J. Marciano,LHP,sat,Arkansas,yes,d1baseball,BSB_AUBURN
UF,L. Peterson,RHP,fri,Ole Miss,yes,d1baseball,BSB_FLORIDA
UF,A. King,RHP,sat,Ole Miss,yes,d1baseball,BSB_FLORIDA
UF,R. Sandefer,RHP,sun,Ole Miss,yes,d1baseball,BSB_FLORIDA
UGA,J. Volchko,RHP,fri,Mississippi State,yes,d1baseball,BSB_GEORGIA
UGA,D. Vigue,RHP,sat,Mississippi State,yes,d1baseball,BSB_GEORGIA
UK,J. Jelkin,RHP,fri,Missouri,unconfirmed,d1baseball,BSB_KENTUCKY
UK,N. Harris,RHP,sat,Missouri,unconfirmed,d1baseball,BSB_KENTUCKY
UK,B. Cleaver,LHP,sun,Missouri,unconfirmed,d1baseball,BSB_KENTUCKY
LSU,C. Evans,RHP,fri,Tennessee,unconfirmed,d1baseball,BSB_LSU
LSU,W. Schmidt,RHP,sat,Tennessee,unconfirmed,d1baseball,BSB_LSU
MSST,C. Foster,LHP,fri,Georgia,yes,d1baseball,NCAA_614666
MSST,T. Valincius,LHP,sat,Georgia,yes,d1baseball,NCAA_614666
MSST,D. Stone,RHP,sun,Georgia,yes,d1baseball,NCAA_614666
MIZ,J. McDevitt,LHP,fri,Kentucky,unconfirmed,d1baseball,BSB_MISSOURI
MIZ,B. Kehlenbrink,RHP,sat,Kentucky,unconfirmed,d1baseball,BSB_MISSOURI
OK,L. Mercurius,RHP,fri,Alabama,yes,d1baseball,BSB_OKLAHOMA
OK,C. Johnson,LHP,sat,Alabama,yes,d1baseball,BSB_OKLAHOMA
OK,C. Rager,LHP,sun,Alabama,yes,d1baseball,BSB_OKLAHOMA
UM,T. Rabe,RHP,fri,Florida,yes,d1baseball,BSB_OLE_MISS
UM,H. Elliott,LHP,sat,Florida,yes,d1baseball,BSB_OLE_MISS
UM,C. Townsend,RHP,sun,Florida,yes,d1baseball,BSB_OLE_MISS
USC2,A. Valentin,LHP,fri,Texas,yes,d1baseball,BSB_SOUTH_CAROLINA
USC2,J. Gunther,RHP,sat,Texas,yes,d1baseball,BSB_SOUTH_CAROLINA
USC2,A. Phillips,RHP,sun,Texas,yes,d1baseball,BSB_SOUTH_CAROLINA
TEN,B. Arvidson,LHP,fri,LSU,unconfirmed,d1baseball,BSB_TENNESSEE
TEN,L. Mack,RHP,sat,LSU,unconfirmed,d1baseball,BSB_TENNESSEE
TEN,E. Blanco,LHP,sun,LSU,unconfirmed,d1baseball,BSB_TENNESSEE
UT,R. Riojas,RHP,fri,South Carolina,yes,d1baseball,BSB_TEXAS
UT,L. Harrison,LHP,sat,South Carolina,yes,d1baseball,BSB_TEXAS
UT,D. Volantis,LHP,sun,South Carolina,yes,d1baseball,BSB_TEXAS
AM,S. Sdao,LHP,fri,Vanderbilt,yes,d1baseball,NCAA_614788
AM,W. Moss,RHP,sat,Vanderbilt,yes,d1baseball,NCAA_614788
AM,A. Sims,RHP,sun,Vanderbilt,yes,d1baseball,NCAA_614788
VU,C. Fennell,RHP,fri,Texas A&M,yes,d1baseball,BSB_VANDERBILT
VU,W. Nadeau,RHP,sat,Texas A&M,yes,d1baseball,BSB_VANDERBILT
USM,G. Harris,LHP,fri,Old Dominion,yes,d1baseball,NCAA_614780
USM,C. Sunstrom,RHP,sat,Old Dominion,yes,d1baseball,NCAA_614780
CCAR,L. Jones,RHP,fri,South Alabama,yes,d1baseball,BSB_COASTAL_CAROLINA
CCAR,R. Norman,RHP,sat,South Alabama,yes,d1baseball,BSB_COASTAL_CAROLINA
TROY,B. Stubbs,LHP,fri,Arkansas State,yes,d1baseball,NCAA_614797
TROY,T. Egan,RHP,sun,Arkansas State,yes,d1baseball,NCAA_614797
GASO,W. Holder,RHP,fri,Texas State,unconfirmed,d1baseball,NCAA_614612
JMU,M. Kuhle,LHP,fri,Louisiana,yes,d1baseball,NCAA_614634
JMU,L. Alexander,RHP,sat,Louisiana,yes,d1baseball,NCAA_614634
APP,T. Nolan,LHP,fri,Marshall,yes,d1baseball,NCAA_614852
APP,N. DiRito,RHP,sat,Marshall,yes,d1baseball,NCAA_614852
APP,G. Peterson,RHP,sun,Marshall,yes,d1baseball,NCAA_614852
ARST,C. Richter,LHP,fri,Troy,yes,d1baseball,NCAA_614854
ARST,J. Nelson,LHP,sat,Troy,yes,d1baseball,NCAA_614854
ARST,D. Farley,LHP,sun,Troy,yes,d1baseball,NCAA_614854
GSU,T. Benford,RHP,fri,ULM,unconfirmed,d1baseball,NCAA_614613
GSU,J. Hembree,LHP,sat,ULM,unconfirmed,d1baseball,NCAA_614613
GSU,C. Roberts,RHP,sun,ULM,unconfirmed,d1baseball,NCAA_614613
LOU2,S. Pruitt,RHP,fri,James Madison,yes,d1baseball,BSB_LOUISIANA
LOU2,A. Herrmann,LHP,sat,James Madison,yes,d1baseball,BSB_LOUISIANA
LOU2,T. Roman,LHP,sun,James Madison,yes,d1baseball,BSB_LOUISIANA
MAR,B. Blevins,LHP,fri,App State,yes,d1baseball,NCAA_614652
MAR,D. Harlow,RHP,sat,App State,yes,d1baseball,NCAA_614652
MAR,K. Collins,RHP,sun,App State,yes,d1baseball,NCAA_614652
ODU,D. Kuskie,RHP,fri,Southern Miss,yes,d1baseball,NCAA_614703
ODU,J. Gatti,RHP,sat,Southern Miss,yes,d1baseball,NCAA_614703
ODU,N. Sulpizio,RHP,sun,Southern Miss,yes,d1baseball,NCAA_614703
USA,M. Heer,RHP,fri,Coastal Carolina,yes,d1baseball,NCAA_614737
USA,R. Bozenhard,RHP,sat,Coastal Carolina,yes,d1baseball,NCAA_614737
USA,D. Gonzalez,RHP,sun,Coastal Carolina,yes,d1baseball,NCAA_614737
TSU,K. Froehlich,RHP,fri,Georgia Southern,yes,d1baseball,NCAA_614747
TSU,S. Hall,RHP,sat,Georgia Southern,yes,d1baseball,NCAA_614747
TSU,J. Tovar,LHP,sun,Georgia Southern,yes,d1baseball,NCAA_614747
ULM,A. Brodnax,RHP,fri,Georgia State,yes,d1baseball,NCAA_614691
ULM,B. Corley,LHP,sat,Georgia State,yes,d1baseball,NCAA_614691
ULM,J. Dermody,LHP,sun,Georgia State,yes,d1baseball,NCAA_614691
CHAR,C. Oxborrow,LHP,fri,East Carolina,yes,d1baseball,NCAA_614676
CHAR,E. Copper,RHP,sat,East Carolina,yes,d1baseball,NCAA_614676
ECU,L. Payne,LHP,fri,Charlotte,yes,d1baseball,BSB_EAST_CAROLINA
ECU,E. Norby,LHP,sat,Charlotte,yes,d1baseball,BSB_EAST_CAROLINA
FAU,J. Litman,RHP,fri,UAB,yes,d1baseball,NCAA_614604
FAU,K. Adetuyi,LHP,sat,UAB,yes,d1baseball,NCAA_614604
FAU,G. Grant,RHP,sun,UAB,yes,d1baseball,NCAA_614604
MEM,S. Garner,RHP,fri,USF,yes,d1baseball,NCAA_614658
MEM,W. Howell,RHP,sat,USF,yes,d1baseball,NCAA_614658
MEM,D. Case,LHP,sun,USF,yes,d1baseball,NCAA_614658
RICE,T. Wiggins,RHP,fri,UTSA,yes,d1baseball,NCAA_614718
TULA,J. Toporek,LHP,fri,Wichita State,yes,d1baseball,NCAA_614762
TULA,T. Cehajic,RHP,sat,Wichita State,yes,d1baseball,NCAA_614762
UAB,M. Steele,RHP,fri,Florida Atlantic,yes,d1baseball,NCAA_614849
USF,E. Alicea,LHP,fri,Memphis,yes,d1baseball,NCAA_614740
USF,M. Senay,RHP,sun,Memphis,yes,d1baseball,NCAA_614740
UTSA,R. Self,RHP,fri,Rice,yes,d1baseball,NCAA_614794
WSU,M. Cuccias,RHP,fri,Tulane,yes,d1baseball,NCAA_614817
WSU,B. Hamilton,RHP,sat,Tulane,yes,d1baseball,NCAA_614817
DBU,L. Watt,LHP,fri,Kennesaw State,yes,d1baseball,NCAA_614764
DBU,J. Schaeffer,RHP,sat,Kennesaw State,yes,d1baseball,NCAA_614764
UD,R. McLaughlin,RHP,fri,New Mexico State,unconfirmed,d1baseball,NCAA_614770
UD,D. Marose,RHP,sat,New Mexico State,unconfirmed,d1baseball,NCAA_614770
