pitcher_espn_id,pitcher_idx,pitcher_name,team_canonical_id,season,throws,role,season_ip,season_era,fip,siera,fb_pct,fb_sensitivity,d1b_ability_adj,d1b_ability_source,n_appearances,last_appearance
,4874,Aidan Rasmussen,NCAA_614785,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-10
99140,4873,Drew Lafferty,NCAA_614710,2026,R,SP,0.7,,3.71,2.99,26.9,0.7841,-0.102302,fip,1,2026-03-15
,4872,Valentin,BSB_SOUTH_CAROLINA,2026,,RP,6.0,3.0,,,,1.0,-0.151772,era_appearances,2,2026-03-21
,4871,Karsten Sweum,BSB_GONZAGA,2026,L,SP,5.0,3.6,5.13,3.28,40.0,1.0198,-0.011695,fip,1,2026-03-22
,4870,Quincy Thornton,NCAA_614745,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,4869,Davis Webb,NCAA_614866,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-03-20
88856,4868,Sam Staerker,NCAA_614578,2025,R,RP,3.7,,,,,1.0,0.0,,2,2025-03-09
,4867,Drew Deremer,NCAA_614673,2026,,SP,6.0,0.0,,,,1.0,0.0,,1,2026-03-15
,4866,Enger Paulino,NCAA_614723,2026,,SP,12.0,3.0,,,,1.0,-0.151772,era_appearances,2,2026-03-22
,4865,Loper Bobby,NCAA_614826,2026,,RP,2.0,,,,,1.0,0.0,,2,2026-03-21
,4864,Montgomery,BSB_UC_SANTA_BARBARA,2026,,SP,2.0,,5.07,3.93,30.8,0.8542,-0.015085,fip,1,2026-03-15
,4863,A. Abler,NCAA_614617,2026,,SP,6.0,1.5,3.94,4.26,43.9,1.09,-0.087023,fip,1,2026-03-15
99105,4862,Shane Brinham,BSB_MICHIGAN,2026,L,SP,2.3,,,,,1.0,0.0,,1,2026-03-15
99056,4861,Ty Uber,BSB_NOTRE_DAME,2026,L,SP,3.0,,4.2,4.51,41.2,1.0414,-0.070796,fip,1,2026-03-15
87207,4860,Stormy Rhodes,NCAA_614775,2025,,RP,13.7,7.9,,,,1.0,0.14287,era_appearances,9,2025-05-02
,4859,Brady LeJeune-DeAcutis,NCAA_614653,2026,,SP,12.0,0.0,6.31,4.35,35.0,0.9298,0.059979,fip,2,2026-03-22
,4859,Brady LeJeuneDeAcutis,NCAA_614653,2026,,SP,7.0,1.29,,,,1.0,-0.186143,era_appearances,1,2026-03-15
99088,4858,Daniel Gonzalez,NCAA_614737,2026,R,SP,5.0,5.4,4.84,3.16,36.2,0.9514,-0.029401,fip,1,2026-03-15
,4857,Lundari,NCAA_614736,2026,R,SP,4.0,,,,,1.0,0.0,,2,2026-03-21
,4856,Oliv Pudvar,NCAA_614587,2026,L,SP,5.0,5.4,6.3157575757575755,3.8757575757575764,42.9,1.072,0.061269,fip,1,2026-03-22
,4855,Frese,BSB_IOWA,2026,R,RP,6.0,3.0,4.82,4.4,57.4,1.3329,-0.030918,fip,2,2026-03-21
,4854,Payton Allen,NCAA_614771,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-20
,4853,Young,NCAA_614843,2026,,SP,3.0,,,,,1.0,0.0,,1,2026-03-15
,4852,Jayden Lopez,NCAA_614631,2026,,SP,6.0,3.0,,,,1.0,-0.151772,era_appearances,1,2026-03-22
,4851,Math NAYRAL,BSB_KANSAS,2026,R,SP,4.0,,3.99,3.49,50.0,1.1997,-0.083221,fip,1,2026-03-15
,4850,Alvarez,NCAA_614684,2026,R,SP,1.0,,,,,1.0,0.0,,1,2026-03-15
,4849,Liam O'Brien,NCAA_614618,2026,,SP,3.0,,4.14,4.09,40.0,1.0198,-0.074392,fip,1,2026-03-22
,4849,Liam OBrien,NCAA_614618,2026,,SP,4.0,,,,,1.0,0.0,,1,2026-03-15
,4848,Brinham,BSB_MICHIGAN,2026,L,RP,2.0,,,,,1.0,0.0,,1,2026-03-03
,4847,Gonzalez,NCAA_614737,2026,R,SP,5.0,5.4,4.84,3.16,36.2,0.9514,-0.029401,fip,1,2026-03-15
,4846,Jackson Vanesko,NCAA_614869,2026,,SP,4.0,,,,,1.0,0.0,,2,2026-03-21
,4845,Ryker Walton,NCAA_614858,2026,,SP,3.0,,,,,1.0,0.0,,1,2026-03-22
,4844,T Uber,BSB_NOTRE_DAME,2026,L,SP,3.0,,4.2,4.51,41.2,1.0414,-0.070796,fip,1,2026-03-15
,4843,Reese,NCAA_614619,2026,,SP,1.0,,,,,1.0,0.0,,1,2026-03-15
,4842,George Katsaros,NCAA_614722,2026,R,RP,4.0,,,,,1.0,0.0,,1,2026-03-15
,4841,Boyd,NCAA_614818,2026,,SP,4.0,,,,,1.0,0.0,,1,2026-03-15
