player_name,position,bats,throws,canonical_id,source_url
Matthew Heiberger,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Tyler Fay,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Myles Upchurch,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Jersey Number,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Bobby Alcock,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Zane Adams,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Tate Robertson,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Luke Smyers,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Sam Mitchell,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Anthony Pesci,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Owen Sarna,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Hagan Banks,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Kaden Humphrey,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Zach Kittrell,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Ross Lindsey,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Jack Ketchum,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Evan Steckmesser,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Ashton Crowther,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Connor Lehman,LHP,,L,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Austin Morris,RHP,,R,BSB_ALABAMA,https://rolltide.com/sports/baseball/roster
Jake Marciano,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Drew Whalen,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Jett Johnston,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Garrett Brewer,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Ethan Harden,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Clayton Armah,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Marcel Kulik,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Andreas Alvarez,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Connor Gatwood,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Eddie Madrigal,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Christian Chatterton,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Ryan Hetzler,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Griffin Graves,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Mason Koch,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Jackson Sanders,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Trevor Booton,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Wade Shelley,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Abe Chancellor,LHP,,L,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Alex Petrovic,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Saxon Roberts,RHP,,R,BSB_AUBURN,https://auburntigers.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,B,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,R,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,R,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
Custom Field 1,,L,L,BSB_FLORIDA,https://floridagators.com/sports/baseball/roster
