canonical_id,team_idx,team_name,conference,season,bullpen_quality_z,bullpen_adj,wrc_plus,wrc_offense_adj,conf_strength_adj,batting_fb_pct,batting_fb_factor,pct_rhb,pct_lhb,effective_rhb_frac,n_games
NCAA_614563,58,Bucknell,Patriot,2026,0.0,-0.0,89.78,-0.071335,-0.08955399061032865,37.4,0.9531,0.7778,0.2222,0.7778,
NCAA_614564,59,Butler,Big East,2026,0.0,-0.0,113.36,0.093283,-0.034480642115203027,41.7,1.0618,0.5263,0.4211,0.5526,
NCAA_614565,60,Cal Poly,Big West,2026,0.4619027235756742,-0.046190272357567425,95.92,-0.028504,-0.011920384951881007,37.9,0.9649,0.682,0.29,0.696,
NCAA_614566,61,CSU Bakersfield,Big West,2026,0.0184763710295271,-0.0018476371029527102,102.17,0.015145,-0.011920384951881007,34.6,0.8808,0.6,0.375,0.6125,
NCAA_614567,62,Cal St. Fullerton,Big West,2026,0.8765430199260354,-0.08765430199260354,91.52,-0.059217,-0.011920384951881007,40.7,1.0369,0.7778,0.2222,0.7778,
NCAA_614568,63,Long Beach St.,Big West,2026,-0.051440082011209,0.0051440082011209,93.22,-0.047346,-0.011920384951881007,41.8,1.0653,0.6585,0.3415,0.6585,
NCAA_614569,64,CSUN,Big West,2026,0.1051225712764766,-0.01051225712764766,111.54,0.080567,-0.011920384951881007,42.6,1.0849,0.682,0.29,0.696,
NCAA_614570,65,Sacramento St.,WAC,2026,0.2534008453277639,-0.02534008453277639,86.46,-0.094578,-0.049385113268608415,38.0,0.9672,0.6944,0.2778,0.7083,
BSB_UC_SANTA_BARBARA,50,UC Santa Barbara,Big West,2026,0.9724006620555392,-0.09724006620555392,106.29,0.043908,-0.011920384951881007,36.5,0.9291,0.682,0.29,0.696,
NCAA_614572,66,California,ACC,2026,0.473570357225759,-0.04735703572257591,109.96,0.069577,0.08763112639724847,39.1,0.9969,0.7674,0.1628,0.8023,
NCAA_614573,67,UC Davis,Big West,2026,0.1948069520023899,-0.01948069520023899,73.84,-0.182664,-0.011920384951881007,39.7,1.0107,0.7647,0.2353,0.7647,
NCAA_614574,68,UC Irvine,Big West,2026,0.4506495425724542,-0.045064954257245424,95.57,-0.030906,-0.011920384951881007,36.8,0.9384,0.5238,0.4286,0.5476,
BSB_UCLA,49,UCLA,Big Ten,2026,1.5262929947861954,-0.15262929947861956,119.84,0.138543,0.034017264276228434,41.9,1.0669,0.5263,0.4737,0.5263,
NCAA_614576,69,UC Riverside,Big West,2026,0.2015865024742294,-0.020158650247422943,76.62,-0.163273,-0.011920384951881007,33.4,0.8506,0.6364,0.3333,0.6515,
NCAA_614577,70,Campbell,CAA,2026,0.91572526420592,-0.09157252642059201,110.55,0.073667,-0.04763211382113821,45.0,1.1457,0.682,0.29,0.696,
NCAA_614578,71,Canisius,MAAC,2026,-0.56026425166787,0.056026425166787,91.12,-0.061981,-0.13712903225806453,40.7,1.0379,0.5909,0.4091,0.5909,
NCAA_614579,72,Central Conn. St.,NEC,2026,0.0,-0.0,105.39,0.037627,-0.15,40.0,1.0189,0.682,0.29,0.696,
BSB_UCF,48,UCF,Big 12,2026,0.9914775236652498,-0.09914775236652498,105.85,0.040816,0.05291589363017936,36.8,0.9383,0.5714,0.381,0.5952,
NCAA_614581,73,Central Mich.,MAC,2026,0.0,-0.0,107.45,0.052018,-0.09166666666666667,43.1,1.0985,0.682,0.29,0.696,
