Qual.	Player	Team	Class	K%	BB%	K:BB	ISO	BABIP	wOBA	wRC	wRAA	wRC+
0	Max Kaufer	Wichita State	SR	14.8%	16.4%	0.90	.783	.346	.708	25	16	265
0	Lorenzo Carrier	Pittsburgh	SR	15.7%	21.4%	0.73	.604	.514	.685	28	17	253
0	Vahn Lackey	Georgia Tech	JR	10.7%	22.6%	0.47	.508	.500	.674	32	19	247
0	Will Gasparino	UCLA	JR	13.5%	17.6%	0.77	.691	.343	.661	28	16	241
0	Brendan Lawson	Florida	SO	15.9%	23.2%	0.69	.596	.429	.654	30	18	237
0	Garner Anderson	Tennessee-Martin	JR	11.6%	23.3%	0.50	.500	.458	.636	15	9	228
0	Brennan Hudson	Georgia	SR	14.8%	18.5%	0.80	.811	.143	.635	19	11	227
0	Daniel Jackson	Georgia	JR	11.9%	10.7%	1.11	.648	.313	.630	29	16	225
0	Drew Smith	Oregon	SR	18.2%	13.6%	1.34	.434	.543	.624	23	13	222
0	Tanner Mally	Western Michigan	JR	1.4%	8.3%	0.17	.113	.558	.614	24	13	217
0	Titan Kamaka	Mercer	SR	6.3%	20.3%	0.31	.271	.533	.610	21	11	215
0	Mark Quatrani	Notre Dame	JR	13.2%	10.3%	1.28	.352	.524	.609	23	12	214
0	Kollin Ritchie	Oklahoma State	JR	29.4%	13.2%	2.23	.672	.370	.609	23	12	214
0	Cole Cook	VMI	SO	28.6%	18.2%	1.57	.500	.577	.608	26	14	214
0	Derek Williams	Miami	GR	22.1%	10.4%	2.13	.403	.561	.602	25	13	211
0	Tyler Fox	Massachusetts	FR	12.1%	30.3%	0.40	.409	.438	.601	11	6	211
0	Ryan Henschel	Rhode Island	JR	28.1%	15.6%	1.80	.538	.500	.595	10	5	208
0	Alex Hernandez	Georgia Tech	SO	14.5%	17.1%	0.85	.233	.578	.596	25	13	208
0	Henry Allen	Georgia	SO	14.1%	16.9%	0.83	.491	.395	.596	23	12	208
0	Tre Phelps	Georgia	JR	9.2%	9.2%	1.00	.438	.367	.593	28	14	206
0	Tague Davis	Louisville	SO	22.5%	10.0%	2.25	.571	.405	.593	26	13	206
0	Tommy Harrison	Miami (OH)	JR	10.6%	16.7%	0.63	.346	.463	.589	21	11	204
