Qual.	Player	Team	Class	GB%	LD%	FB%	PU%	HR/FB%
0	Teddy Cashman	Lafayette	JR	20.0%	60.0%	20.0%	0.0%	50.0%
0	Matt McIntire	New Haven	SR	40.0%	50.0%	10.0%	0.0%	0.0%
0	Aiden Ciprian	Iona	FR	38.9%	50.0%	11.1%	5.6%	0.0%
0	Jackson Freeman	Northwestern	JR	26.7%	48.9%	24.4%	2.2%	27.3%
0	Aedan Forde	New Haven	JR	15.4%	46.2%	38.5%	15.4%	0.0%
0	Anderson French	Virginia Tech	SO	18.2%	45.5%	36.4%	9.1%	50.0%
0	Kyle Eddington	UMBC	JR	47.8%	43.5%	8.7%	4.3%	0.0%
0	Cade Goldstein	UC Santa Barbara	FR	26.7%	43.3%	30.0%	6.7%	22.2%
0	Jack Bell	TCU	JR	35.7%	42.9%	21.4%	0.0%	0.0%
0	Matthew Witkow	Harvard	FR	42.1%	42.1%	15.8%	0.0%	0.0%
0	Henry Murray	Dartmouth	FR	33.3%	41.7%	25.0%	8.3%	0.0%
0	Elijah Pelayo	CSU Bakersfield	SR	42.3%	40.4%	17.3%	1.9%	0.0%
0	Will Henson	Ohio	GR	29.8%	40.4%	29.8%	4.3%	0.0%
0	Damian Ruiz	Arkansas	JR	37.1%	40.0%	22.9%	2.9%	0.0%
0	Colin McCormick	Bradley	SO	33.3%	40.0%	26.7%	0.0%	0.0%
0	Cal Chance	UMass Lowell	FR	40.0%	40.0%	20.0%	2.5%	0.0%
0	Jett Ruby	Fresno State	JR	38.8%	38.8%	22.4%	8.2%	0.0%
0	Brody Block	Utah Valley	SR	25.8%	38.7%	35.5%	0.0%	9.1%
0	Thomas Williams	UT Rio Grande Valley	SR	38.3%	38.3%	23.4%	4.3%	9.1%
0	Walker Barron	East Carolina	JR	45.9%	37.8%	16.2%	2.7%	0.0%
0	Antonio Ducatelli	Central Connecticut	JR	50.0%	37.5%	12.5%	4.2%	0.0%
0	Titan Kamaka	Mercer	SR	17.4%	37.0%	45.7%	8.7%	4.8%
0	AJ Oden	Iona	JR	44.4%	37.0%	18.5%	3.7%	20.0%
0	Elgin Bennett	CSU Bakersfield	SR	28.0%	36.0%	36.0%	0.0%	33.3%
0	Matt Quintanar	Texas Tech	JR	26.0%	36.0%	38.0%	10.0%	0.0%
0	Jax Ryan	Missouri State	JR	30.8%	35.9%	33.3%	5.1%	15.4%
0	Marcus Harrison	Northern Kentucky	SR	32.1%	35.7%	32.1%	3.6%	0.0%
0	Alonso Reyes	UC Irvine	JR	33.3%	35.6%	31.1%	4.4%	0.0%
0	Cash Strayer	Florida	FR	26.7%	35.6%	37.8%	0.0%	11.8%
0	RJ Azarieh	Saint Peter’s	JR	38.7%	35.5%	25.8%	0.0%	25.0%
0	Jacob Gaudreau	Bryant	GR	52.9%	35.3%	11.8%	0.0%	50.0%
0	Noah Sorensen	Long Island	JR	38.2%	35.3%	26.5%	2.9%	11.1%
0	Parker Airhart	Murray State	GR	35.3%	35.3%	29.4%	2.9%	10.0%
0	Yahir Acevedo	CSU Bakersfield	JR	47.1%	35.3%	17.6%	5.9%	0.0%
0	Jake Hower	Cornell	FR	29.4%	35.3%	35.3%	2.9%	8.3%
0	Grady Mee	Kent State	SR	35.0%	35.0%	30.0%	5.0%	16.7%
0	Chase Fogg	Saint Peter’s	SO	25.0%	35.0%	40.0%	10.0%	12.5%
0	Aiden Barclay	Cornell	FR	45.0%	35.0%	20.0%	0.0%	0.0%
0	Deiten Lachance	Oklahoma	JR	30.2%	34.9%	34.9%	7.0%	0.0%
0	Brylan West	Miami	GR	28.3%	34.8%	37.0%	2.2%	5.9%
0	Nolan Traeger	TCU	SO	34.7%	34.7%	30.6%	10.2%	0.0%
0	Max Burt	Iowa	SO	50.0%	34.6%	15.4%	0.0%	0.0%
0	Jonathan Trejo	Texas Southern	JR	24.1%	34.5%	41.4%	6.9%	16.7%
0	Kyle Jones	Florida	JR	26.2%	34.4%	39.3%	4.9%	8.3%
0	Matt Hansen	BYU	SO	34.4%	34.4%	31.3%	3.1%	0.0%
0	Tyler Herb	Florida Gulf Coast	SO	31.3%	34.4%	34.4%	3.1%	0.0%
0	Kendyl Johnson	Tarleton	SO	21.9%	34.4%	43.8%	0.0%	0.0%
0	Samuel Fernandez	Stetson	FR	28.6%	34.3%	37.1%	8.6%	15.4%
0	Owen Carlson	Cornell	JR	47.4%	34.2%	18.4%	0.0%	28.6%
0	Cade Corcoran	Sam Houston	FR	28.9%	34.2%	36.8%	5.3%	7.1%
0	Evan Cloyd	CSU Bakersfield	SR	30.2%	34.0%	35.8%	0.0%	21.1%
0	Hudson Brown	Kentucky	SO	36.0%	34.0%	30.0%	4.0%	0.0%
0	Sam Parks	Stonehill	GR	26.7%	33.3%	40.0%	10.0%	8.3%
0	Jaxson Wall	Loyola Marymount	GR	37.8%	33.3%	28.9%	0.0%	23.1%
0	Daniel Perez	La Salle	SR	51.9%	33.3%	14.8%	3.7%	25.0%
0	Casey Cerruto	New Haven	SR	55.6%	33.3%	11.1%	0.0%	0.0%
0	Hank Warren	UT Rio Grande Valley	SR	40.0%	33.3%	26.7%	6.7%	0.0%
0	Dylan Drake	Purdue	JR	43.3%	33.3%	23.3%	6.7%	0.0%
0	Reece Moroney	Rhode Island	JR	31.0%	33.3%	35.7%	2.4%	6.7%
0	Owen Bond	St. Thomas	JR	38.5%	33.3%	28.2%	2.6%	9.1%
0	JP Pennella	UNC Wilmington	SO	48.7%	33.3%	17.9%	2.6%	0.0%
0	Joey Calabretti	St. Bonaventure	JR	25.0%	33.3%	41.7%	16.7%	20.0%
0	Braden Connors	Holy Cross	JR	57.6%	33.3%	9.1%	0.0%	33.3%
0	Chase Swain	La Salle	SR	35.4%	33.3%	31.3%	4.2%	20.0%
0	Brandon O'Neill	Central Connecticut	SO	53.3%	33.3%	13.3%	0.0%	0.0%
0	Terrell Milliner	Coppin State	JR	50.0%	33.3%	16.7%	0.0%	0.0%
0	Mason Hughes	UNC Wilmington	SO	41.7%	33.3%	25.0%	4.2%	16.7%
0	Mason Barela	Cornell	SO	19.4%	33.3%	47.2%	8.3%	5.9%
0	Julio Solier	Boston College	SO	35.1%	33.3%	31.6%	0.0%	0.0%
0	Luke Sullivan	Radford	FR	53.3%	33.3%	13.3%	0.0%	0.0%
0	Dylan Winebrenner	Richmond	GR	28.8%	32.7%	38.5%	5.8%	20.0%
0	Dean Mihos	Coastal Carolina	SR	40.0%	32.7%	27.3%	7.3%	13.3%
0	Braden Burress	East Carolina	SO	40.4%	32.7%	26.9%	5.8%	7.1%
0	Ryder Helfrick	Arkansas	JR	30.4%	32.6%	37.0%	8.7%	29.4%
0	Ryan Black	Georgia	SR	20.0%	32.5%	47.5%	10.0%	15.8%
0	Ryan Jaros	Rutgers	JR	37.5%	32.5%	30.0%	5.0%	8.3%
0	Julian Nunez	Pepperdine	GR	20.0%	32.5%	47.5%	15.0%	0.0%
0	Jaxon Byrd	UC Riverside	SR	37.8%	32.4%	29.7%	8.1%	18.2%
0	Aidan Sengenberger	Seton Hall	JR	47.1%	32.4%	20.6%	0.0%	0.0%
0	Ashtin Gilio	Georgetown	JR	29.4%	32.4%	38.2%	2.9%	7.7%
0	Ryker Waite	Vanderbilt	SO	37.8%	32.4%	29.7%	2.7%	18.2%
0	Caleb Klein	Southeast Missouri State	JR	41.5%	32.3%	26.2%	3.1%	23.5%
0	Myles Bailey	Florida State	SO	29.0%	32.3%	38.7%	3.2%	50.0%
0	Ayden Frey	St. John’s	JR	32.1%	32.1%	35.7%	7.1%	0.0%
0	Alex Benevento	Brown	SO	28.6%	32.1%	39.3%	10.7%	18.2%
0	Eli Putnam	Florida State	SR	32.0%	32.0%	36.0%	12.0%	11.1%
0	James Castagnola	UC Irvine	JR	20.0%	32.0%	48.0%	16.0%	0.0%
0	Kristian Sprawling	Southern Illinois	SR	36.0%	32.0%	32.0%	20.0%	25.0%
0	Estaban Sepulveda	UC Riverside	SO	44.0%	32.0%	24.0%	8.0%	16.7%
0	Harry Carr	Delaware	SO	36.0%	32.0%	32.0%	4.0%	0.0%
0	Zach Leite	Old Dominion	SR	40.4%	31.9%	27.7%	2.1%	30.8%
0	Blaise Priester	Southeastern Louisiana	SR	27.3%	31.8%	40.9%	4.5%	22.2%
0	Ian Guanzon	East Tennessee State	JR	29.5%	31.8%	38.6%	11.4%	5.9%
0	Trevor Goldenetz	Long Beach State	FR	43.2%	31.8%	25.0%	6.8%	0.0%
