Qual.	Player	Team	Class	POS	BA	OBP	SLG	OPS	GP	PA	AB	R	H	2B	3B	HR	RBI	HBP	BB	K	SB	CS
0	Tanner Mally	Western Michigan	JR	CF	.573	.677	.693	1.370	20	99	75	29	43	5	2	0	7	14	10	1	10	3
0	Titan Kamaka	Mercer	SR	SS	.488	.587	.750	1.337	23	104	80	20	39	13	1	2	22	1	21	9	4	1
0	Alex Fernandes	San Jose State	SR	RF	.461	.569	.685	1.254	24	116	89	28	41	7	2	3	17	4	21	10	6	2
0	Landon Hairston	Arizona State	SO	LF	.458	.543	.917	1.460	25	116	96	36	44	11	0	11	34	4	15	11	7	2
0	Lorenzo Carrier	Pittsburgh	SR	RF	.455	.607	1.000	1.607	23	112	77	34	35	5	2	11	47	2	31	20	3	0
0	Bryce Chance	Mississippi State	GR	LF	.452	.544	.589	1.133	25	93	73	25	33	10	0	0	18	5	11	3	7	2
0	Miguel Morales	Texas Southern	SR	C	.451	.561	.529	1.090	16	67	51	11	23	1	0	1	17	5	9	5	3	4
0	Drew Barragan	UNLV	SR	3B	.447	.526	.798	1.324	24	115	94	34	42	7	4	6	32	6	12	21	1	0
0	Jack Cannon	Le Moyne	JR	RF	.442	.482	.623	1.106	19	85	77	19	34	9	1	1	28	2	5	10	15	1
0	Tommy Harrison	Miami (OH)	JR	RF	.439	.562	.805	1.367	22	105	82	27	36	9	0	7	34	4	19	11	1	2
0	Javier Gorostola	Florida Gulf Coast	SO	3B	.439	.504	.701	1.205	25	121	107	26	47	10	0	6	31	3	11	10	1	0
0	Mason Hughes	UNC Wilmington	SO	2B	.439	.529	.632	1.160	21	70	57	20	25	5	0	2	14	3	9	13	4	1
0	Aubrey Kearns	Morehead State	SO	DH	.439	.526	.745	1.271	25	116	98	30	43	9	0	7	30	3	15	24	2	0
0	Chris Katz	Mercer	SR	LF	.438	.528	.719	1.247	25	123	96	35	42	7	1	6	28	3	20	6	2	1
0	Ryan Rivera	Long Island	SR	SS	.438	.554	.703	1.257	18	83	64	20	28	6	1	3	17	6	12	7	3	3
0	Gable Mitchell	Iowa	SR	2B	.427	.513	.583	1.096	23	117	96	29	41	8	2	1	22	4	15	4	7	3
0	Drew Smith	Oregon	SR	3B	.427	.525	.841	1.366	25	103	82	26	35	3	2	9	33	3	15	16	1	1
0	Derek Williams	Miami	GR	RF	.426	.521	.819	1.340	26	120	94	29	40	10	0	9	38	9	13	24	4	2
0	Mac Moyer	Nebraska	JR	CF	.426	.526	.521	1.048	25	115	94	28	40	9	0	0	9	0	20	13	4	3
0	Andrew Detlefsen	UTSA	SR	LF	.426	.491	.772	1.264	24	116	101	35	43	8	0	9	31	7	7	21	2	0
0	Vahn Lackey	Georgia Tech	JR	C	.425	.545	.851	1.396	24	110	87	32	37	8	1	9	33	2	21	14	7	0
0	Owen Clyne	George Mason	SR	SS	.425	.485	.655	1.140	22	100	87	25	37	8	3	2	21	1	10	12	13	1
0	Alex Hernandez	Georgia Tech	SO	RF	.424	.542	.624	1.166	23	107	85	31	36	2	0	5	22	3	19	18	2	0
0	Carson Kerce	Georgia Tech	JR	SS	.420	.530	.679	1.209	24	100	81	22	34	16	1	1	22	4	15	8	2	0
0	Paul Schoenfeld	West Virginia	GR	CF	.418	.525	.633	1.158	21	102	79	16	33	8	3	1	26	0	19	9	11	3
0	Jaxon Pate	Jacksonville State	SO	CF	.418	.515	.506	1.021	26	101	79	21	33	7	0	0	16	4	14	10	7	4
0	Jacob Johnson	Saint Mary’s	SO	LF	.418	.471	.758	1.229	23	104	91	22	38	7	0	8	32	4	7	17	2	1
0	Danny MacDougall	Dayton	GR	2B	.417	.513	.615	1.128	24	116	96	26	40	13	0	2	17	3	16	22	22	2
0	Caleb Wulf	Iowa	SR	1B	.417	.472	.500	.972	23	109	96	21	40	5	0	1	22	3	7	5	2	1
0	Jake Souders	Samford	SO	CF	.417	.500	.643	1.143	23	101	84	23	35	4	0	5	17	3	12	19	10	2
0	Rett Johnson	NC State	FR	LF	.417	.527	.542	1.069	23	94	72	26	30	6	0	1	19	2	17	7	8	1
0	Gavin Kelly	West Virginia	SO	C	.416	.500	.685	1.185	21	106	89	28	37	11	2	3	21	1	15	16	2	5
0	Kyle Neri	Rider	JR	LF	.415	.473	.646	1.119	18	91	82	22	34	7	0	4	25	1	8	16	2	0
0	Mark Quatrani	Notre Dame	JR	C	.415	.515	.732	1.246	21	103	82	29	34	3	1	7	28	8	11	15	0	0
0	Griffin Crain	Louisville	SO	LF	.414	.543	.629	1.171	23	96	70	17	29	7	1	2	30	7	15	9	1	3
0	Grayson Fitzwater	VMI	SR	1B	.413	.538	.900	1.438	24	106	80	28	33	10	1	9	34	1	23	14	8	1
0	Marcus Dierks	Miami (OH)	JR	CF	.413	.551	.475	1.026	23	113	80	28	33	3	1	0	10	10	16	12	21	3
0	Brennon Wright	South Alabama	JR	2B	.411	.535	.500	1.035	25	115	90	25	37	6	1	0	10	8	16	9	7	2
0	Logan Tribble	Wofford	SR	DH	.410	.542	.518	1.060	25	110	83	24	34	6	0	1	18	4	20	14	5	1
0	Ben Cleary	Santa Clara	JR	SS	.410	.495	.538	1.033	21	93	78	21	32	4	0	2	13	1	13	7	5	0
0	Jacob Silva	UTSA	SO	C	.410	.531	.574	1.105	20	82	61	17	25	5	1	1	17	7	11	8	2	0
