Qual.	Player	Team	Class	OBP	SLG	OPS	BABIP	BB%	K%	K-BB%	K:BB	WHIP	ERA	FIP	xFIP	SIERA	LOB%
0	Ruger Riojas	Texas	SR	.195	.195	.390	.294	3.7%	51.2%	47.6%	13.84	0.64	1.23	1.76	1.81	0.04	89.0%
0	Christian Coppola	Saint Joseph’s	SR	.270	.204	.474	.375	7.8%	48.4%	40.6%	6.21	0.89	0.57	1.72	2.20	0.80	76.5%
0	Hunter Dietz	Arkansas	SO	.266	.236	.502	.368	6.3%	42.5%	36.3%	6.75	1.00	2.84	1.84	2.43	1.16	57.1%
0	Chris Levonas	Wake Forest	SO	.221	.286	.506	.296	7.8%	53.2%	45.5%	6.82	0.81	1.83	2.50	2.46	-0.19	91.5%
0	Dax Whitney	Oregon State	SO	.231	.244	.475	.286	8.7%	48.9%	40.2%	5.62	0.82	1.11	2.75	2.60	0.54	98.9%
0	Cade Townsend	Ole Miss	SO	.208	.197	.405	.286	5.6%	44.4%	38.9%	7.93	0.75	0.48	1.68	2.74	0.58	93.3%
0	Ethan Lund	Oklahoma State	SO	.274	.197	.471	.300	15.5%	47.6%	32.1%	3.07	1.11	1.74	2.96	2.80	1.71	88.0%
0	Mason Edwards	Southern California	JR	.159	.039	.198	.086	11.1%	46.7%	35.6%	4.21	0.54	0.00	2.18	2.83	1.24	100.0%
0	Eric Nachtsheim	McNeese	SR	.222	.253	.475	.262	6.7%	43.3%	36.7%	6.46	0.83	1.17	2.96	2.87	0.96	87.2%
0	Ben Blair	Liberty	JR	.181	.179	.360	.227	3.6%	41.0%	37.3%	11.39	0.58	2.01	1.94	2.88	1.04	73.3%
0	Jake Marciano	Auburn	SO	.222	.240	.462	.282	1.2%	42.7%	41.5%	35.58	0.59	1.23	2.51	2.88	0.40	90.4%
0	Colin Fisher	Arkansas	JR	.198	.256	.454	.220	3.5%	34.9%	31.4%	9.97	0.70	1.17	3.35	2.89	1.60	84.5%
0	Nick DiRito	Appalachian State	JR	.316	.342	.659	.452	6.3%	38.8%	32.5%	6.16	1.29	2.89	1.91	2.90	1.39	76.0%
0	Mason Christopher	Seton Hall	SO	.383	.418	.802	.515	6.6%	34.4%	27.9%	5.21	2.06	5.91	3.17	2.92	2.02	69.4%
0	Logan Reddemann	UCLA	JR	.267	.313	.580	.333	4.7%	38.4%	33.7%	8.17	0.98	2.95	3.28	2.98	1.40	89.1%
0	Ryan Peterson	Sam Houston	JR	.258	.313	.572	.326	6.6%	38.5%	31.9%	5.83	1.00	1.57	3.15	2.99	1.59	89.1%
0	Myles Upchurch	Alabama	FR	.278	.262	.539	.364	8.1%	41.9%	33.8%	5.17	1.02	1.93	2.78	2.99	1.37	91.4%
0	Cooper Katskee	Nebraska	JR	.182	.254	.436	.206	3.0%	40.9%	37.9%	13.63	0.62	1.53	3.21	3.01	0.74	87.0%
0	Camden Sunstrom	Southern Miss	SO	.277	.363	.640	.346	1.2%	31.0%	29.8%	25.83	1.00	1.29	3.47	3.02	1.77	84.2%
0	Jacob Dudan	NC State	JR	.200	.209	.409	.264	3.3%	36.3%	33.0%	11.00	0.70	1.11	2.06	3.05	1.45	83.3%
0	Brady Kehlenbrink	Missouri	SO	.262	.363	.624	.356	4.8%	39.3%	34.5%	8.19	1.05	4.29	2.93	3.10	1.07	72.9%
0	Jackson Sanders	Auburn	SO	.244	.321	.565	.304	4.7%	38.4%	33.7%	8.17	0.90	3.63	3.17	3.14	1.35	71.4%
0	Corden Pettey	Cal Poly	FR	.319	.354	.673	.447	6.9%	38.9%	31.9%	5.64	1.32	4.32	1.98	3.18	1.51	69.6%
0	William Schmidt	LSU	SO	.235	.241	.476	.289	4.7%	38.8%	34.1%	8.26	0.82	2.45	2.69	3.19	1.26	80.6%
0	Cameron Johnson	Oklahoma	JR	.282	.282	.564	.356	5.8%	37.2%	31.4%	6.41	1.03	2.11	2.88	3.20	1.64	84.1%
0	Rob Evans	Miami	SR	.267	.299	.565	.294	8.0%	41.3%	33.3%	5.16	0.95	4.74	3.67	3.25	1.37	69.8%
0	LJ Mercurius	Oklahoma	JR	.200	.158	.358	.209	7.1%	40.0%	32.9%	5.63	0.64	0.39	2.40	3.25	1.42	88.2%
0	Sean Jenkins	East Carolina	SO	.244	.250	.494	.279	6.3%	35.4%	29.1%	5.62	0.89	1.77	3.06	3.25	1.85	62.5%
0	Jack Radel	Notre Dame	JR	.167	.203	.369	.159	6.0%	39.3%	33.3%	6.55	0.61	1.57	3.22	3.31	1.28	71.4%
0	Liam Peterson	Florida	JR	.291	.182	.473	.333	15.0%	42.5%	27.5%	2.83	1.19	3.72	2.56	3.33	2.06	73.9%
0	Keenan Anzai	UC Davis	SO	.257	.277	.534	.333	4.3%	34.3%	30.0%	7.98	1.00	4.24	2.15	3.33	1.73	44.4%
0	James Litman	Florida Atlantic	SO	.280	.348	.628	.364	4.3%	34.4%	30.1%	8.00	1.18	2.45	3.13	3.35	1.70	81.9%
0	Cooper Allen	UNC Wilmington	JR	.202	.247	.449	.250	2.4%	33.3%	31.0%	13.88	0.70	1.57	2.79	3.40	1.65	83.3%
0	Michael Sharman	Clemson	SR	.135	.138	.273	.164	1.1%	29.2%	28.1%	26.55	0.44	0.72	2.42	3.40	1.99	75.0%
0	Jaxon Jelkin	Kentucky	JR	.250	.307	.557	.277	4.9%	32.1%	27.2%	6.55	0.89	2.53	3.79	3.42	2.09	81.4%
0	Bryce Blevins	Marshall	SR	.278	.365	.643	.333	1.8%	26.3%	24.6%	14.61	1.01	2.28	3.50	3.47	2.31	69.9%
0	David Lopez	Houston Christian	SR	.338	.394	.732	.439	8.6%	37.0%	28.4%	4.30	1.37	4.74	3.06	3.49	1.91	66.4%
0	Alex Petrovic	Auburn	SO	.222	.265	.487	.267	2.7%	31.5%	28.8%	11.67	0.79	2.37	3.02	3.53	1.87	75.3%
0	Nathan Taylor	Cincinnati	JR	.288	.379	.667	.310	5.6%	31.5%	25.9%	5.63	1.17	4.12	4.64	3.54	2.22	61.5%
0	Casan Evans	LSU	SO	.268	.243	.512	.318	8.5%	36.6%	28.0%	4.31	1.09	4.66	2.45	3.54	2.00	50.0%
0	Darin Horn	Coastal Carolina	SR	.250	.246	.496	.243	5.9%	33.8%	27.9%	5.73	0.84	3.24	3.59	3.57	2.00	70.5%
0	Andreas Alvarez	Auburn	SO	.282	.304	.586	.326	7.7%	34.6%	26.9%	4.49	1.07	1.37	3.22	3.58	2.12	82.5%
