Qual.	Player	Team	Class	GB%	LD%	FB%	PU%	HR/FB%
0	Nolan Moore	Texas State	FR	78.4%	2.7%	18.9%	0.0%	0.0%
0	Braxton Haywood	Central Arkansas	JR	72.2%	8.3%	19.4%	2.8%	0.0%
0	Lucas Foley	Illinois State	JR	68.3%	12.2%	19.5%	0.0%	0.0%
0	Jesus Tovar	Texas State	JR	68.0%	8.0%	24.0%	2.0%	0.0%
0	Matthew Cuccias	Wichita State	JR	66.7%	6.7%	26.7%	2.2%	16.7%
0	Tyler Weimer	Arkansas State	SO	65.5%	8.6%	25.9%	6.9%	6.7%
0	Dylan Volantis	Texas	SO	65.4%	11.5%	23.1%	3.8%	0.0%
0	Chansen Cole	West Virginia	SO	65.3%	14.3%	20.4%	2.0%	0.0%
0	Logan Rumberg	George Mason	SR	65.2%	10.9%	23.9%	4.3%	18.2%
0	Bryce McKnight	San Diego State	JR	64.0%	12.0%	24.0%	2.0%	41.7%
0	Sean Jenkins	East Carolina	SO	63.6%	9.1%	27.3%	4.5%	8.3%
0	Keyon Guillory	Grambling	JR	63.5%	15.4%	21.2%	3.8%	9.1%
0	Max McCrary	Mount St. Mary’s	SR	63.0%	18.5%	18.5%	0.0%	0.0%
0	Jack Turner	New Mexico State	SR	62.5%	20.0%	17.5%	2.5%	0.0%
0	Landon Mack	Tennessee	SO	62.3%	17.0%	20.8%	0.0%	9.1%
0	Brooks Roberson	Louisiana Tech	SO	62.3%	15.1%	22.6%	0.0%	0.0%
0	Zach Erdman	Purdue	SR	62.1%	17.2%	20.7%	0.0%	16.7%
0	Caylon Dygert	UT Arlington	JR	62.0%	9.9%	28.2%	2.8%	0.0%
0	Ben Blair	Liberty	JR	61.9%	7.1%	31.0%	7.1%	0.0%
0	Wade Walton	High Point	SO	61.8%	11.8%	26.5%	7.4%	11.1%
0	Daniel Quintana	Radford	JR	61.7%	17.0%	21.3%	4.3%	0.0%
0	Brandon Stone	South Carolina	JR	61.7%	19.1%	19.1%	8.5%	0.0%
0	Jacob Turner	Bowling Green	SR	61.5%	10.8%	27.7%	3.1%	22.2%
0	Kaden Segel	Portland	GR	61.4%	15.8%	22.8%	5.3%	0.0%
0	Ethan Lay	Sacramento State	SR	61.3%	5.3%	33.3%	4.0%	20.0%
0	Eric Segura	Oregon State	JR	61.0%	19.5%	19.5%	0.0%	0.0%
0	Logan Reddemann	UCLA	JR	60.9%	8.7%	30.4%	8.7%	14.3%
0	Tyler Ray	Utah Tech	SR	60.9%	14.5%	24.6%	7.2%	5.9%
0	Brady Hamilton	Wichita State	JR	60.8%	15.7%	23.5%	11.8%	0.0%
