Qual.	Player	Team	Class	W	L	ERA	APP	GS	CG	SHO	SV	IP	H	R	ER	BB	K	HBP	BA
0	Braden Gebhardt	Youngstown State	SR	0	1	0.00	4	4	0	0	0	26.0	12	2	0	9	32	2	.138
0	Matt Sauser	UCF	JR	1	0	0.00	3	3	0	0	0	18.2	8	0	0	2	16	0	.127
0	Mason Edwards	Southern California	JR	3	0	0.00	4	4	0	0	0	24.0	3	0	0	10	42	1	.039
0	Landon Hood	Gonzaga	FR	2	0	0.00	4	0	0	0	1	16.1	5	0	0	5	25	2	.094
0	Grant Govel	Southern California	SO	4	0	0.35	4	4	0	0	0	26.0	11	2	1	3	29	1	.126
0	Jesus Tovar	Texas State	JR	4	0	0.36	4	4	0	0	0	25.0	10	1	1	8	26	8	.130
0	LJ Mercurius	Oklahoma	JR	4	0	0.39	4	4	1	0	0	23.1	9	2	1	6	34	2	.118
0	Will Labonte	Portland	FR	1	0	0.46	4	3	0	0	0	19.2	15	1	1	11	15	0	.211
0	Cade Townsend	Ole Miss	SO	2	0	0.48	4	4	0	0	0	18.2	10	1	1	4	32	1	.152
0	Daniel Quintana	Radford	JR	3	0	0.49	4	0	0	0	0	18.1	15	2	1	5	18	1	.221
0	Nolan Moore	Texas State	FR	1	0	0.53	4	4	0	0	0	17.0	8	1	1	8	16	4	.145
0	Christian Coppola	Saint Joseph’s	SR	0	0	0.57	4	1	0	0	0	15.2	9	4	1	5	31	3	.167
0	Daniel Powell	Kennesaw State	JR	3	0	0.60	7	0	0	0	2	15.0	6	2	1	7	18	1	.133
0	Colby Barker	Merrimack	JR	3	0	0.71	3	1	1	0	0	12.2	14	2	1	7	18	0	.219
0	Michael Sharman	Clemson	SR	4	0	0.72	4	4	1	0	0	25.0	10	4	2	1	26	1	.115
0	Matthew Mariano	Albany	SR	0	0	0.73	3	0	0	0	0	12.1	8	2	1	4	10	0	.178
0	Ben Alekson	Fairfield	JR	0	1	0.82	4	4	0	0	0	22.0	19	4	2	8	22	1	.232
0	Wes Mendes	Florida State	JR	4	0	0.83	4	4	0	0	0	21.2	9	5	2	7	30	1	.129
0	Alex Walsh	Jacksonville	SR	2	1	0.87	4	4	0	0	0	20.2	17	3	2	7	19	2	.227
0	Eli Pillsbury	Jacksonville State	SR	2	0	0.90	4	4	0	0	0	20.0	15	3	2	5	25	4	.214
0	Ciaran Caughey	Kent State	SR	2	0	0.92	4	4	0	0	0	19.2	15	5	2	5	26	3	.200
0	Will Sanford	Oregon	SO	3	0	0.92	4	4	0	0	0	19.2	10	4	2	9	26	3	.149
0	Ty Uber	Notre Dame	GR	2	0	0.96	4	4	0	0	0	18.2	10	2	2	7	13	1	.154
0	Logan Hastings	Maryland	SO	1	0	0.96	4	0	0	0	2	18.2	10	2	2	3	23	4	.156
0	Garrett Grant	Florida Atlantic	FR	1	0	0.96	4	4	0	0	0	18.2	20	2	2	5	16	3	.278
0	Brandon Stone	South Carolina	JR	2	0	1.00	5	2	0	0	0	18.0	16	3	2	4	20	2	.229
0	Otto Espinoza	California	FR	1	0	1.00	4	1	0	0	2	18.0	10	3	2	6	24	2	.159
0	Braxton Haywood	Central Arkansas	JR	1	1	1.04	8	0	0	0	1	17.1	8	8	2	8	23	2	.136
0	Caylon Dygert	UT Arlington	JR	2	0	1.05	4	4	0	0	0	25.2	17	5	3	9	20	1	.183
0	Maxx Yehl	West Virginia	JR	2	0	1.06	4	4	0	0	0	17.0	13	5	2	10	21	3	.217
0	Owen Phypers	Navy	FR	3	0	1.06	3	3	0	0	0	17.0	12	2	2	6	14	2	.211
0	Kyle Salvati	Central Connecticut	SR	0	0	1.08	2	2	0	0	0	8.1	6	1	1	6	7	1	.214
0	Seth Benes	Lindenwood	JR	1	0	1.08	4	4	0	0	0	25.0	15	3	3	9	23	0	.174
0	Chris Olivier	Lamar	SR	2	0	1.09	4	4	0	0	0	24.2	13	3	3	7	32	0	.151
0	Jacob Dudan	NC State	JR	4	0	1.11	4	4	0	0	0	24.1	14	3	3	3	33	1	.163
0	Dax Whitney	Oregon State	SO	2	0	1.11	4	4	0	0	0	24.1	12	3	3	8	45	1	.146
0	Jacob Hines	Central Connecticut	SO	1	0	1.12	2	2	0	0	0	8.0	7	2	1	7	7	1	.241
0	Michael Senay	South Florida	FR	2	0	1.14	4	3	0	0	0	23.2	15	5	3	4	20	2	.185
0	Hekili Robello	Hawaii	JR	3	0	1.14	4	4	0	0	0	23.2	21	9	3	3	27	2	.228
0	Colin Fisher	Arkansas	JR	2	1	1.17	4	4	1	1	0	23.0	13	5	3	3	30	1	.159
0	Eric Nachtsheim	McNeese	SR	3	0	1.17	5	2	1	0	1	23.0	13	5	3	6	39	1	.157
0	Tyler Weimer	Arkansas State	SO	2	0	1.17	7	0	0	0	1	23.0	10	4	3	6	20	0	.127
0	Bryce Riggs	Eastern Illinois	JR	2	0	1.19	4	3	1	1	1	22.2	10	3	3	6	23	1	.132
0	Gavin DeVooght	Michigan	JR	0	1	1.20	9	0	0	0	5	15.0	11	3	2	8	14	2	.196
0	Brady Bendik	Navy	JR	2	1	1.21	4	4	0	0	0	22.1	19	5	3	8	23	0	.229
0	Drew Turner	UNC Asheville	FR	3	1	1.21	4	2	1	0	0	22.1	13	5	3	10	26	1	.173
0	Ruger Riojas	Texas	SR	3	0	1.23	4	4	0	0	0	22.0	11	3	3	3	42	2	.143
0	Jake Marciano	Auburn	SO	2	0	1.23	4	4	0	0	0	22.0	12	3	3	1	35	5	.160
0	Nate Bennett	Niagara	SO	1	0	1.29	4	4	0	0	0	21.0	14	4	3	6	27	3	.194
0	Camden Sunstrom	Southern Miss	SO	1	0	1.29	7	1	0	0	1	21.0	20	4	3	1	26	2	.250
0	Lucas Hartman	Virginia	GR	4	0	1.31	10	0	0	0	0	20.2	14	7	3	5	23	1	.197
0	Trace Hartman	Stetson	JR	2	1	1.31	5	1	0	0	0	20.2	12	4	3	7	17	0	.169
0	Alec Bouchard	Wofford	JR	2	1	1.33	4	4	0	0	0	20.1	16	4	3	10	26	2	.208
0	Collin Aloisio	Sam Houston	FR	3	0	1.35	4	4	0	0	0	20.0	16	5	3	5	15	3	.213
0	Andreas Alvarez	Auburn	SO	2	1	1.37	4	4	0	0	0	19.2	15	6	3	6	27	1	.217
0	Danny Cihocki	Northern Illinois	JR	2	0	1.38	4	4	0	0	0	26.0	14	4	4	6	28	1	.163
0	Brady Bickett	Charleston Southern	JR	1	1	1.42	4	4	0	0	0	19.0	8	4	3	8	14	2	.127
0	Griffin Naess	Cal Poly	JR	2	1	1.44	4	4	0	0	0	25.0	11	4	4	6	30	2	.124
0	Lucas Foley	Illinois State	JR	4	0	1.47	7	0	0	0	0	18.1	11	4	3	5	20	1	.175
0	Tyler Lutz	James Madison	FR	0	1	1.47	5	2	0	0	0	18.1	13	4	3	3	18	0	.197
0	Sawyer Pruitt	Louisiana	FR	2	1	1.48	7	3	0	0	1	24.1	22	6	4	6	29	0	.237
0	Jackson Flora	UC Santa Barbara	JR	4	0	1.50	4	4	0	0	0	24.0	17	4	4	7	28	4	.195
0	Brannon Westmoreland	Little Rock	JR	2	0	1.52	4	4	0	0	0	23.2	13	4	4	6	26	0	.155
0	Cooper Katskee	Nebraska	JR	2	0	1.53	5	2	0	0	1	17.2	9	4	3	2	27	1	.143
