academic_year,ncaa_teams_id,team_name,conference,conference_id,canonical_id,odds_api_name,espn_name,baseballr_team_id,baseballr_season_id,baseballr_team_name,notes
2026,614563,Bucknell,Patriot,838,NCAA_614563,,Bucknell Bison,,,,
2026,614564,Butler,Big East,30184,NCAA_614564,Butler Bulldogs,Butler Bulldogs,,,,
2026,614565,Cal Poly,Big West,904,NCAA_614565,Cal Poly Mustangs,Cal Poly Mustangs,,,,
2026,614566,CSU Bakersfield,Big West,904,NCAA_614566,,,,,,
2026,614567,Cal St. Fullerton,Big West,904,NCAA_614567,CSU Fullerton Titans,Cal State Fullerton Titans,,,,
2026,614568,Long Beach St.,Big West,904,NCAA_614568,Long Beach State Dirtbags,Long Beach State Beach,,,,
2026,614569,CSUN,Big West,904,NCAA_614569,,Cal State Northridge Matadors,,,,
2026,614570,Sacramento St.,WAC,923,NCAA_614570,Sacramento St Hornets,Sacramento State Hornets,,,,
2026,614571,UC Santa Barbara,Big West,904,BSB_UC_SANTA_BARBARA,UC Santa Barbara Gauchos,UC Santa Barbara Gauchos,,,,
2026,614572,California,ACC,821,NCAA_614572,California Golden Bears,California Golden Bears,,,,
2026,614573,UC Davis,Big West,904,NCAA_614573,UC Davis Aggies,UC Davis Aggies,,,,
2026,614574,UC Irvine,Big West,904,NCAA_614574,UC Irvine Anteaters,UC Irvine Anteaters,,,,
2026,614575,UCLA,Big Ten,827,BSB_UCLA,UCLA Bruins,UCLA Bruins,,,,
2026,614576,UC Riverside,Big West,904,NCAA_614576,,,,,,
2026,614577,Campbell,CAA,837,NCAA_614577,Campbell Fighting Camels,Campbell Fighting Camels,,,,
2026,614578,Canisius,MAAC,871,NCAA_614578,,Canisius Golden Griffins,,,,
2026,614579,Central Conn. St.,NEC,846,NCAA_614579,,Central Connecticut Blue Devils,,,,
2026,614580,UCF,Big 12,25354,BSB_UCF,UCF Knights,UCF Knights,,,,
2026,614581,Central Mich.,MAC,875,NCAA_614581,,Central Michigan Chippewas,,,,
2026,614582,Cincinnati,Big 12,25354,BSB_CINCINNATI,Cincinnati Bearcats,Cincinnati Bearcats,,,,
2026,614583,The Citadel,SoCon,912,NCAA_614583,,The Citadel Bulldogs,,,,
2026,614584,Clemson,ACC,821,BSB_CLEMSON,Clemson Tigers,Clemson Tigers,,,,
2026,614585,Coastal Carolina,Sun Belt,818,BSB_COASTAL_CAROLINA,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,,,,
2026,614586,Columbia,Ivy League,865,NCAA_614586,Columbia Lions,Columbia Lions,,,,
2026,614587,UConn,Big East,30184,NCAA_614587,UConn Huskies,UConn Huskies,,,,
2026,614588,Coppin St.,NEC,846,NCAA_614588,,,,,,
2026,614589,Cornell,Ivy League,865,NCAA_614589,,Cornell Big Red,,,,
2026,614590,Creighton,Big East,30184,NCAA_614590,Creighton Bluejays,Creighton Bluejays,,,,
2026,614591,Dartmouth,Ivy League,865,NCAA_614591,,,,,,
2026,614592,Davidson,Atlantic 10,820,NCAA_614592,Davidson Wildcats,Davidson Wildcats,,,,
2026,614593,Dayton,Atlantic 10,820,NCAA_614593,Dayton Flyers,Dayton Flyers,,,,
2026,614594,Delaware St.,NEC,846,NCAA_614594,,,,,,
2026,614595,Delaware,CUSA,24312,NCAA_614595,,Delaware Blue Hens,,,,
2026,614596,East Carolina,American,823,BSB_EAST_CAROLINA,East Carolina Pirates,East Carolina Pirates,,,,
2026,614597,ETSU,SoCon,912,NCAA_614597,,East Tennessee State Buccaneers,,,,
2026,614598,Eastern Ill.,OVC,902,NCAA_614598,,,,,,
2026,614599,Eastern Ky.,ASUN,920,NCAA_614599,,Eastern Kentucky Colonels,,,,
2026,614600,Eastern Mich.,MAC,875,NCAA_614600,,Eastern Michigan Eagles,,,,
2026,614601,Fairfield,MAAC,871,NCAA_614601,,Fairfield Stags,,,,
2026,614602,FDU,NEC,846,NCAA_614602,,,,,,
2026,614603,Florida A&M,SWAC,916,NCAA_614603,,Florida A&M Rattlers,,,,
2026,614604,Fla. Atlantic,American,823,NCAA_614604,Florida Atlantic Owls,Florida Atlantic Owls,,,,
2026,614605,FIU,CUSA,24312,NCAA_614605,,Florida International Panthers,,,,
2026,614606,Florida St.,ACC,821,NCAA_614606,Florida St Seminoles,Florida State Seminoles,,,,
2026,614607,Florida,SEC,911,BSB_FLORIDA,Florida Gators,Florida Gators,,,,
2026,614608,Fordham,Atlantic 10,820,NCAA_614608,Fordham Rams,Fordham Rams,,,,
2026,614609,George Mason,Atlantic 10,820,NCAA_614609,,George Mason Patriots,,,,
2026,614610,George Washington,Atlantic 10,820,NCAA_614610,George Washington Colonials,George Washington Revolutionaries,,,,
2026,614611,Georgetown,Big East,30184,NCAA_614611,,Georgetown Hoyas,,,,
2026,614612,Ga. Southern,Sun Belt,818,NCAA_614612,,Georgia Southern Eagles,,,,
2026,614613,Georgia St.,Sun Belt,818,NCAA_614613,Georgia St Panthers,Georgia State Panthers,,,,
2026,614614,Georgia Tech,ACC,821,BSB_GEORGIA_TECH,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,,,,
2026,614615,Georgia,SEC,911,BSB_GEORGIA,Georgia Bulldogs,Georgia Bulldogs,,,,
2026,614616,Gonzaga,WCC,922,BSB_GONZAGA,Gonzaga Bulldogs,Gonzaga Bulldogs,,,,
2026,614617,Harvard,Ivy League,865,NCAA_614617,,Harvard Crimson,,,,
2026,614618,Hawaii,Big West,904,NCAA_614618,Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,,,,
2026,614619,Hofstra,CAA,837,NCAA_614619,,Hofstra Pride,,,,
2026,614620,Holy Cross,Patriot,838,NCAA_614620,,Holy Cross Crusaders,,,,
2026,614621,Houston Christian,Southland,914,NCAA_614621,,Houston Christian Huskies,,,,
2026,614622,Houston,Big 12,25354,BSB_HOUSTON,Houston Cougars,Houston Cougars,,,,
