rank,catcher_name,team_name,canonical_id,avg,obp,ops,pa,bb,k,sb_allowed,quality_score,rank_score,sb_per_pa,sb_score,bb_k_ratio,bbk_score,ops_score,composite_score,catcher_adj
1,Vahn Lackey,Georgia Tech,BSB_GEORGIA_TECH,0.425,0.545,1.396,110,21,14,7,1.0,1.0,0.06363636363636363,0.6181818181818182,1.5,0.41018766756032166,0.6261682242990653,0.7413,-0.025
2,Daniel Jackson,Georgia,BSB_GEORGIA,0.411,0.504,1.452,114,14,18,11,0.98,0.98,0.09649122807017543,0.42105263157894735,0.7777777777777778,0.17783735478105453,0.684319833852544,0.6608,-0.0218
3,Ryder Helfrick,Arkansas,BSB_ARKANSAS,0.321,0.5,1.093,112,29,17,5,0.96,0.96,0.044642857142857144,0.7321428571428571,1.7058823529411764,0.47642327708563315,0.31152647975077874,0.7008,-0.0234
4,Chase Fralick,Auburn,BSB_AUBURN,0.352,0.467,1.092,108,15,19,1,0.94,0.94,0.009259259259259259,0.9444444444444444,0.7894736842105263,0.18160011288274305,0.3104880581516096,0.7014,-0.0234
5,Jack Natili,Cincinnati,BSB_CINCINNATI,0.333,0.407,1.045,121,10,22,1,0.92,0.92,0.008264462809917356,0.9504132231404958,0.45454545454545453,0.07384840360711674,0.2616822429906541,0.669,-0.0221
6,Alex Sosa,Miami,BSB_MIAMI,0.333,0.468,1.146,109,18,21,0,0.9,0.9,0.0,1.0,0.8571428571428571,0.20337035618536958,0.3665628245067496,0.7138,-0.0239
7,Cashel Dugger,UCLA,BSB_UCLA,0.287,0.406,0.881,96,11,15,0,0.88,0.88,0.0,1.0,0.7333333333333333,0.16353887399463807,0.09138110072689509,0.6448,-0.0211
8,Weber Neels,Minnesota,BSB_MINNESOTA,0.337,0.439,1.065,102,10,14,4,0.86,0.86,0.0392156862745098,0.7647058823529411,0.7142857142857143,0.15741095365760246,0.28245067497403936,0.6153,-0.02
9,Gavin Kelly,West Virginia,BSB_WEST_VIRGINIA,0.424,0.515,1.221,102,15,16,2,0.84,0.84,0.0196078431372549,0.8823529411764706,0.9375,0.22922252010723862,0.44444444444444453,0.6799,-0.0225
10,Jimmy Janicki,Troy,NCAA_614797,0.371,0.446,1.187,102,9,15,1,0.82,0.82,0.00980392156862745,0.9411764705882353,0.6,0.12064343163538874,0.4091381100726895,0.6632,-0.0219
11,Carson Tinney,Texas,BSB_TEXAS,0.286,0.439,0.987,107,20,25,2,0.8,0.8,0.018691588785046728,0.8878504672897196,0.8,0.18498659517426275,0.20145379023883692,0.61,-0.0198
