ncaa_teams_id,ncaa_team_name,conference,canonical_team_id,canonical_school,odds_api_team_name,baseballr_team_name,notes
614563,Bucknell,Patriot,,,,,
614564,Butler,Big East,,,,,
614565,Cal Poly,Big West,,,,,
614566,CSU Bakersfield,Big West,,,,,
614567,Cal St. Fullerton,Big West,,,,,
614568,Long Beach St.,Big West,,,,,
614569,CSUN,Big West,,,,,
614570,Sacramento St.,WAC,,,,,
614571,UC Santa Barbara,Big West,BSB_UC_SANTA_BARBARA,UC Santa Barbara,,,
614572,California,ACC,,,,,
614573,UC Davis,Big West,,,,,
614574,UC Irvine,Big West,,,,,
614575,UCLA,Big Ten,BSB_UCLA,UCLA,,,
614576,UC Riverside,Big West,,,,,
614577,Campbell,CAA,,,,,
614578,Canisius,MAAC,,,,,
614579,Central Conn. St.,NEC,,,,,
614580,UCF,Big 12,BSB_UCF,UCF,,,
614581,Central Mich.,MAC,,,,,
614582,Cincinnati,Big 12,BSB_CINCINNATI,Cincinnati,,,
614583,The Citadel,SoCon,,,,,
614584,Clemson,ACC,BSB_CLEMSON,Clemson,,,
614585,Coastal Carolina,Sun Belt,BSB_COASTAL_CAROLINA,Coastal Carolina,,,
614586,Columbia,Ivy League,,,,,
614587,UConn,Big East,,,,,
614588,Coppin St.,NEC,,,,,
614589,Cornell,Ivy League,,,,,
614590,Creighton,Big East,,,,,
614591,Dartmouth,Ivy League,,,,,
614592,Davidson,Atlantic 10,,,,,
614593,Dayton,Atlantic 10,,,,,
614594,Delaware St.,NEC,,,,,
614595,Delaware,CUSA,,,,,
614596,East Carolina,American,BSB_EAST_CAROLINA,East Carolina,,,
614597,ETSU,SoCon,,,,,
614598,Eastern Ill.,OVC,,,,,
614599,Eastern Ky.,ASUN,,,,,
614600,Eastern Mich.,MAC,,,,,
614601,Fairfield,MAAC,,,,,
614602,FDU,NEC,,,,,
614603,Florida A&amp;M,SWAC,,,,,
614604,Fla. Atlantic,American,,,,,
614605,FIU,CUSA,,,,,
614606,Florida St.,ACC,,,,,
614607,Florida,SEC,BSB_FLORIDA,Florida,,,
614608,Fordham,Atlantic 10,,,,,
614609,George Mason,Atlantic 10,,,,,
614610,George Washington,Atlantic 10,,,,,
614611,Georgetown,Big East,,,,,
614612,Ga. Southern,Sun Belt,,,,,
614613,Georgia St.,Sun Belt,,,,,
614614,Georgia Tech,ACC,BSB_GEORGIA_TECH,Georgia Tech,,,
614615,Georgia,SEC,BSB_GEORGIA,Georgia,,,
614616,Gonzaga,WCC,BSB_GONZAGA,Gonzaga,,,
614617,Harvard,Ivy League,,,,,
614618,Hawaii,Big West,,,,,
614619,Hofstra,CAA,,,,,
614620,Holy Cross,Patriot,,,,,
614621,Houston Christian,Southland,,,,,
614622,Houston,Big 12,BSB_HOUSTON,Houston,,,
614623,Illinois St.,MVC,,,,,
614624,Illinois,Big Ten,BSB_ILLINOIS,Illinois,,,
614625,UIC,MVC,,,,,
614626,Indiana St.,MVC,,,,,
614627,Indiana,Big Ten,BSB_INDIANA,Indiana,,,
614629,Iona,MAAC,,,,,
614630,Iowa,Big Ten,BSB_IOWA,Iowa,,,
614631,Jackson St.,SWAC,,,,,
614632,Jacksonville St.,CUSA,,,,,
614633,Jacksonville,ASUN,,,,,
614634,James Madison,Sun Belt,,,,,
614635,Kansas St.,Big 12,,,,,
614636,Kansas,Big 12,BSB_KANSAS,Kansas,,,
614637,Kent St.,MAC,,,,,
614638,Kentucky,SEC,BSB_KENTUCKY,Kentucky,,,
614639,Lafayette,Patriot,,,,,
614640,Lamar University,Southland,,,,,
614641,Lehigh,Patriot,,,,,
614642,Liberty,CUSA,BSB_LIBERTY,Liberty,,,
614643,Longwood,Big South,,,,,
614644,LSU,SEC,BSB_LSU,LSU,,,
614645,Louisiana Tech,CUSA,,,,,
614646,Louisville,ACC,BSB_LOUISVILLE,Louisville,,,
614647,UMass Lowell,America East,,,,,
614648,LMU (CA),WCC,,,,,
614649,Maine,America East,,,,,
614650,Manhattan,MAAC,,,,,
614651,Marist,MAAC,,,,,
614652,Marshall,Sun Belt,,,,,
614653,UMBC,America East,,,,,
614654,Maryland,Big Ten,BSB_MARYLAND,Maryland,,,
614655,UMES,NEC,,,,,
614656,Massachusetts,MAC,,,,,
614657,McNeese,Southland,,,,,
614658,Memphis,American,,,,,
614659,Mercer,SoCon,,,,,
614660,Miami (OH),MAC,,,,,
614661,Miami (FL),ACC,,,,,
614662,Michigan St.,Big Ten,,,,,
614663,Michigan,Big Ten,BSB_MICHIGAN,Michigan,,,
614664,Middle Tenn.,CUSA,,,,,
614665,Minnesota,Big Ten,BSB_MINNESOTA,Minnesota,,,
614666,Mississippi St.,SEC,,,,,
614667,Mississippi Val.,SWAC,,,,,
614668,Ole Miss,SEC,BSB_OLE_MISS,Ole Miss,,,
614669,Missouri,SEC,BSB_MISSOURI,Missouri,,,
614670,Monmouth,CAA,,,,,
614671,Morehead St.,OVC,,,,,
614672,Mount St. Mary&#39;s,MAAC,,,,,
614673,Murray St.,MVC,,,,,
614674,UNC Asheville,Big South,,,,,
614675,North Carolina,ACC,BSB_NORTH_CAROLINA,North Carolina,,,
614676,Charlotte,American,,,,,
614677,UNC Greensboro,SoCon,,,,,
614678,UNCW,CAA,,,,,
614679,Omaha,Summit League,,,,,
614680,UNLV,Mountain West,,,,,
614681,Nevada,Mountain West,,,,,
614682,NJIT,America East,,,,,
614683,New Mexico St.,CUSA,,,,,
614684,New Mexico,Mountain West,,,,,
614685,New Orleans,Southland,,,,,
614686,Niagara,MAAC,,,,,
614687,Norfolk St.,NEC,,,,,
614688,N.C. A&amp;T,CAA,,,,,
614689,NC State,ACC,BSB_NC_STATE,NC State,,,
614690,North Dakota St.,Summit League,,,,,
614691,ULM,Sun Belt,,,,,
614692,Northeastern,CAA,,,,,
614693,Northern Colo.,Summit League,,,,,
614694,NIU,MAC,,,,,
614695,Northern Ky.,Horizon,,,,,
614696,Northwestern St.,Southland,,,,,
614697,Northwestern,Big Ten,BSB_NORTHWESTERN,Northwestern,,,
614698,Notre Dame,ACC,BSB_NOTRE_DAME,Notre Dame,,,
614699,Oakland,Horizon,,,,,
614700,Ohio St.,Big Ten,,,,,
614701,Ohio,MAC,,,,,
614702,Oklahoma,SEC,BSB_OKLAHOMA,Oklahoma,,,
614703,Old Dominion,Sun Belt,,,,,
614704,Oregon St.,DI Independent,,,,,
614705,Oregon,Big Ten,BSB_OREGON,Oregon,,,
614706,Pacific,WCC,,,,,
614707,UTRGV,Southland,,,,,
614708,Penn St.,Big Ten,,,,,
614709,Pepperdine,WCC,,,,,
614710,Pittsburgh,ACC,,,,,
614711,Portland,WCC,,,,,
614712,Prairie View,SWAC,,,,,
614713,Princeton,Ivy League,,,,,
614714,Purdue,Big Ten,BSB_PURDUE,Purdue,,,
614715,Quinnipiac,MAAC,,,,,
614716,Radford,Big South,,,,,
614717,Rhode Island,Atlantic 10,,,,,
614718,Rice,American,,,,,
614719,Richmond,Atlantic 10,,,,,
614720,Rider,MAAC,,,,,
614721,Rutgers,Big Ten,BSB_RUTGERS,Rutgers,,,
614722,Sacred Heart,MAAC,,,,,
614723,St. Bonaventure,Atlantic 10,,,,,
614724,Saint Joseph&#39;s,Atlantic 10,,,,,
614725,Saint Louis,Atlantic 10,,,,,
614726,Saint Mary&#39;s (CA),WCC,,,,,
614727,Saint Peter&#39;s,MAAC,,,,,
614728,Sam Houston,CUSA,,,,,
614729,Samford,SoCon,,,,,
614730,San Diego St.,Mountain West,,,,,
614731,San Diego,WCC,BSB_SAN_DIEGO,San Diego,,,
614732,San Francisco,WCC,,,,,
614733,San Jose St.,Mountain West,,,,,
614734,Santa Clara,WCC,,,,,
614735,Seton Hall,Big East,,,,,
614736,Siena,MAAC,,,,,
614737,South Alabama,Sun Belt,,,,,
614738,South Carolina,SEC,BSB_SOUTH_CAROLINA,South Carolina,,,
614739,South Dakota St.,Summit League,,,,,
614740,South Fla.,American,,,,,
614741,Southeastern La.,Southland,,,,,
614742,Southern California,Big Ten,,,,,
614743,Southern Ill.,MVC,,,,,
614744,SIUE,OVC,,,,,
614745,Southern U.,SWAC,,,,,
614746,Missouri St.,CUSA,,,,,
614747,Texas St.,Sun Belt,,,,,
614748,Louisiana,Sun Belt,BSB_LOUISIANA,Louisiana,,,
614749,Stanford,ACC,BSB_STANFORD,Stanford,,,
614750,SFA,Southland,,,,,
614751,Stony Brook,CAA,,,,,
614752,Tennessee Tech,OVC,,,,,
614753,UT Martin,OVC,,,,,
614754,Bellarmine,ASUN,,,,,
614755,UC San Diego,Big West,,,,,
614756,Lindenwood,OVC,,,,,
614757,Queens (NC),ASUN,,,,,
614758,Southern Ind.,OVC,,,,,
614759,Stonehill,NEC,,,,,
614760,Le Moyne,NEC,,,,,
614761,Tarleton St.,WAC,,,,,
614762,Tulane,American,,,,,
614763,Army West Point,Patriot,,,,,
614764,DBU,CUSA,,,,,
614765,Wofford,SoCon,,,,,
614766,High Point,Big South,,,,,
614767,Arizona,Big 12,BSB_ARIZONA,Arizona,,,
614768,Fresno St.,Mountain West,,,,,
614769,Duke,ACC,BSB_DUKE,Duke,,,
614770,Evansville,MVC,,,,,
614771,Grambling,SWAC,,,,,
614772,LIU,NEC,,,,,
614773,Nebraska,Big Ten,BSB_NEBRASKA,Nebraska,,,
614774,Nicholls,Southland,,,,,
614775,Oklahoma St.,Big 12,,,,,
614776,Oral Roberts,Summit League,,,,,
614777,Penn,Ivy League,,,,,
614778,St. John&#39;s (NY),Big East,,,,,
614779,Southeast Mo. St.,OVC,,,,,
614780,Southern Miss.,Sun Belt,,,,,
614781,Stetson,ASUN,,,,,
614782,Tennessee,SEC,BSB_TENNESSEE,Tennessee,,,
614783,Mercyhurst,NEC,,,,,
614784,West Ga.,ASUN,,,,,
614785,St. Thomas (MN),Summit League,,,,,
614786,Utah Tech,WAC,,,,,
614787,Akron,MAC,,,,,
614788,Texas A&amp;M,SEC,,,,,
614789,TCU,Big 12,BSB_TCU,TCU,,,
614790,Texas Southern,SWAC,,,,,
614791,Texas Tech,Big 12,BSB_TEXAS_TECH,Texas Tech,,,
614792,UT Arlington,WAC,,,,,
614793,Texas,SEC,BSB_TEXAS,Texas,,,
614794,UTSA,American,,,,,
614795,Toledo,MAC,,,,,
614796,Towson,CAA,,,,,
614797,Troy,Sun Belt,,,,,
614798,Air Force,Mountain West,,,,,
614799,Navy,Patriot,,,,,
614800,Utah,Big 12,BSB_UTAH,Utah,,,
614801,Valparaiso,MVC,,,,,
614802,Vanderbilt,SEC,BSB_VANDERBILT,Vanderbilt,,,
614803,Villanova,Big East,,,,,
614804,VCU,Atlantic 10,,,,,
614805,VMI,SoCon,,,,,
614806,Virginia Tech,ACC,BSB_VIRGINIA_TECH,Virginia Tech,,,
614807,Virginia,ACC,BSB_VIRGINIA,Virginia,,,
614808,Wagner,NEC,,,,,
614809,Wake Forest,ACC,BSB_WAKE_FOREST,Wake Forest,,,
614810,Washington St.,Mountain West,,,,,
614811,Washington,Big Ten,BSB_WASHINGTON,Washington,,,
614812,West Virginia,Big 12,BSB_WEST_VIRGINIA,West Virginia,,,
614813,Western Caro.,SoCon,,,,,
614814,Western Ill.,OVC,,,,,
614815,Western Ky.,CUSA,,,,,
614816,Western Mich.,MAC,,,,,
614817,Wichita St.,American,,,,,
614818,William &amp; Mary,CAA,,,,,
614819,Winthrop,Big South,,,,,
614820,Milwaukee,Horizon,,,,,
614821,Wright St.,Horizon,,,,,
614822,Xavier,Big East,,,,,
614823,Yale,Ivy League,,,,,
614824,Youngstown St.,Horizon,,,,,
614825,Central Ark.,ASUN,,,,,
614826,Merrimack,MAAC,,,,,
614827,Col. of Charleston,CAA,,,,,
614828,Elon,CAA,,,,,
614829,Gardner-Webb,Big South,,,,,
614830,Grand Canyon,Mountain West,,,,,
614831,Kennesaw St.,CUSA,,,,,
614832,Presbyterian,Big South,,,,,
614833,Seattle U,WCC,,,,,
614834,Ark.-Pine Bluff,SWAC,,,,,
614835,North Florida,ASUN,,,,,
614836,UIW,Southland,,,,,
614837,USC Upstate,Big South,,,,,
614838,Belmont,MVC,,,,,
614839,A&amp;M-Corpus Christi,Southland,,,,,
614840,Lipscomb,ASUN,,,,,
614841,FGCU,ASUN,,,,,
614842,Utah Valley,WAC,,,,,
614843,North Ala.,ASUN,,,,,
614844,California Baptist,WAC,,,,,
614845,Abilene Christian,WAC,,,,,
614846,Alabama A&amp;M,SWAC,,,,,
614847,Alabama St.,SWAC,,,,,
614848,Alabama,SEC,BSB_ALABAMA,Alabama,,,
614849,UAB,American,,,,,
614850,UAlbany,America East,,,,,
614851,Alcorn,SWAC,,,,,
614852,App State,Sun Belt,,,,,
614853,Arizona St.,Big 12,,,,,
614854,Arkansas St.,Sun Belt,,,,,
614855,Arkansas,SEC,BSB_ARKANSAS,Arkansas,,,
614856,Little Rock,OVC,,,,,
614857,Auburn,SEC,BSB_AUBURN,Auburn,,,
614858,Austin Peay,ASUN,,,,,
614859,Ball St.,MAC,,,,,
614860,Charleston So.,Big South,,,,,
614861,Baylor,Big 12,BSB_BAYLOR,Baylor,,,
614862,Bethune-Cookman,SWAC,,,,,
614863,Binghamton,America East,,,,,
614864,Boston College,ACC,BSB_BOSTON_COLLEGE,Boston College,,,
614865,Bowling Green,MAC,,,,,
614866,Bradley,MVC,,,,,
614867,BYU,Big 12,BSB_BYU,BYU,,,
614868,Brown,Ivy League,,,,,
614869,Bryant,America East,,,,,
615065,New Haven,NEC,,,,,
621265,La Salle,Atlantic 10,,,,,
