academic_year,division,sport_code,conference_id,conference,ncaa_teams_id,team_name
2025,1,MBA,819,Summit League,596417,St. Thomas (MN)
2025,1,MBA,923,WAC,596418,Utah Tech
2025,1,MBA,875,MAC,596419,Akron
2025,1,MBA,911,SEC,596420,Texas A&amp;M
2025,1,MBA,25354,Big 12,596421,TCU
2025,1,MBA,916,SWAC,596422,Texas Southern
2025,1,MBA,25354,Big 12,596423,Texas Tech
2025,1,MBA,923,WAC,596424,UT Arlington
2025,1,MBA,911,SEC,596425,Texas
2025,1,MBA,823,American,596426,UTSA
2025,1,MBA,875,MAC,596427,Toledo
2025,1,MBA,837,CAA,596428,Towson
2025,1,MBA,818,Sun Belt,596429,Troy
2025,1,MBA,5486,Mountain West,596430,Air Force
2025,1,MBA,838,Patriot,596431,Navy
2025,1,MBA,25354,Big 12,596432,Utah
2025,1,MBA,884,MVC,596433,Valparaiso
2025,1,MBA,911,SEC,596434,Vanderbilt
2025,1,MBA,30184,Big East,596435,Villanova
2025,1,MBA,820,Atlantic 10,596436,VCU
2025,1,MBA,912,SoCon,596437,VMI
2025,1,MBA,821,ACC,596438,Virginia Tech
2025,1,MBA,821,ACC,596439,Virginia
2025,1,MBA,846,NEC,596440,Wagner
2025,1,MBA,821,ACC,596441,Wake Forest
2025,1,MBA,5486,Mountain West,596442,Washington St.
2025,1,MBA,827,Big Ten,596443,Washington
2025,1,MBA,25354,Big 12,596444,West Virginia
2025,1,MBA,912,SoCon,596445,Western Caro.
2025,1,MBA,902,OVC,596446,Western Ill.
2025,1,MBA,24312,CUSA,596447,Western Ky.
2025,1,MBA,875,MAC,596448,Western Mich.
2025,1,MBA,823,American,596449,Wichita St.
2025,1,MBA,837,CAA,596450,William &amp; Mary
2025,1,MBA,826,Big South,596451,Winthrop
2025,1,MBA,881,Horizon,596452,Milwaukee
2025,1,MBA,881,Horizon,596453,Wright St.
2025,1,MBA,30184,Big East,596454,Xavier
2025,1,MBA,865,Ivy League,596455,Yale
2025,1,MBA,881,Horizon,596456,Youngstown St.
2025,1,MBA,920,ASUN,596457,Central Ark.
2025,1,MBA,871,MAAC,596458,Merrimack
2025,1,MBA,837,CAA,596459,Col. of Charleston
2025,1,MBA,837,CAA,596460,Elon
2025,1,MBA,826,Big South,596461,Gardner-Webb
2025,1,MBA,923,WAC,596462,Grand Canyon
2025,1,MBA,24312,CUSA,596463,Kennesaw St.
2025,1,MBA,826,Big South,596464,Presbyterian
2025,1,MBA,923,WAC,596465,Seattle U
2025,1,MBA,916,SWAC,596466,Ark.-Pine Bluff
2025,1,MBA,920,ASUN,596467,North Florida
2025,1,MBA,914,Southland,596468,UIW
2025,1,MBA,826,Big South,596469,USC Upstate
2025,1,MBA,884,MVC,596470,Belmont
2025,1,MBA,914,Southland,596471,A&amp;M-Corpus Christi
2025,1,MBA,920,ASUN,596472,Lipscomb
2025,1,MBA,920,ASUN,596473,FGCU
2025,1,MBA,923,WAC,596474,Utah Valley
2025,1,MBA,920,ASUN,596475,North Ala.
2025,1,MBA,923,WAC,596476,California Baptist
2025,1,MBA,923,WAC,596477,Abilene Christian
2025,1,MBA,916,SWAC,596478,Alabama A&amp;M
2025,1,MBA,916,SWAC,596479,Alabama St.
2025,1,MBA,911,SEC,596480,Alabama
2025,1,MBA,823,American,596481,UAB
2025,1,MBA,845,America East,596482,UAlbany
2025,1,MBA,916,SWAC,596483,Alcorn
2025,1,MBA,818,Sun Belt,596484,App State
2025,1,MBA,25354,Big 12,596485,Arizona St.
2025,1,MBA,818,Sun Belt,596486,Arkansas St.
2025,1,MBA,911,SEC,596487,Arkansas
2025,1,MBA,902,OVC,596488,Little Rock
2025,1,MBA,911,SEC,596489,Auburn
2025,1,MBA,920,ASUN,596490,Austin Peay
2025,1,MBA,875,MAC,596491,Ball St.
2025,1,MBA,826,Big South,596492,Charleston So.
2025,1,MBA,25354,Big 12,596493,Baylor
2025,1,MBA,916,SWAC,596494,Bethune-Cookman
2025,1,MBA,845,America East,596495,Binghamton
2025,1,MBA,821,ACC,596496,Boston College
2025,1,MBA,875,MAC,596497,Bowling Green
2025,1,MBA,884,MVC,596498,Bradley
2025,1,MBA,25354,Big 12,596499,BYU
2025,1,MBA,865,Ivy League,596500,Brown
2025,1,MBA,845,America East,596501,Bryant
2025,1,MBA,838,Patriot,596502,Bucknell
2025,1,MBA,30184,Big East,596503,Butler
2025,1,MBA,904,Big West,596504,Cal Poly
2025,1,MBA,904,Big West,596505,CSU Bakersfield
2025,1,MBA,904,Big West,596506,Cal St. Fullerton
2025,1,MBA,904,Big West,596507,Long Beach St.
2025,1,MBA,904,Big West,596508,CSUN
2025,1,MBA,923,WAC,596509,Sacramento St.
2025,1,MBA,904,Big West,596510,UC Santa Barbara
2025,1,MBA,821,ACC,596511,California
2025,1,MBA,904,Big West,596512,UC Davis
2025,1,MBA,904,Big West,596513,UC Irvine
2025,1,MBA,827,Big Ten,596514,UCLA
2025,1,MBA,904,Big West,596515,UC Riverside
2025,1,MBA,837,CAA,596516,Campbell
2025,1,MBA,871,MAAC,596517,Canisius
2025,1,MBA,846,NEC,596518,Central Conn. St.
2025,1,MBA,25354,Big 12,596519,UCF
2025,1,MBA,875,MAC,596520,Central Mich.
2025,1,MBA,25354,Big 12,596521,Cincinnati
2025,1,MBA,912,SoCon,596522,The Citadel
2025,1,MBA,821,ACC,596523,Clemson
2025,1,MBA,818,Sun Belt,596524,Coastal Carolina
2025,1,MBA,865,Ivy League,596525,Columbia
2025,1,MBA,30184,Big East,596526,UConn
2025,1,MBA,846,NEC,596527,Coppin St.
2025,1,MBA,865,Ivy League,596528,Cornell
2025,1,MBA,30184,Big East,596529,Creighton
2025,1,MBA,865,Ivy League,596530,Dartmouth
2025,1,MBA,820,Atlantic 10,596531,Davidson
2025,1,MBA,820,Atlantic 10,596532,Dayton
2025,1,MBA,846,NEC,596533,Delaware St.
2025,1,MBA,837,CAA,596534,Delaware
2025,1,MBA,823,American,596535,East Carolina
2025,1,MBA,912,SoCon,596536,ETSU
2025,1,MBA,902,OVC,596537,Eastern Ill.
2025,1,MBA,920,ASUN,596538,Eastern Ky.
2025,1,MBA,875,MAC,596539,Eastern Mich.
2025,1,MBA,871,MAAC,596540,Fairfield
2025,1,MBA,846,NEC,596541,FDU
2025,1,MBA,916,SWAC,596542,Florida A&amp;M
2025,1,MBA,823,American,596543,Fla. Atlantic
2025,1,MBA,24312,CUSA,596544,FIU
2025,1,MBA,821,ACC,596545,Florida St.
2025,1,MBA,911,SEC,596546,Florida
2025,1,MBA,820,Atlantic 10,596547,Fordham
2025,1,MBA,820,Atlantic 10,596548,George Mason
2025,1,MBA,820,Atlantic 10,596549,George Washington
2025,1,MBA,30184,Big East,596550,Georgetown
2025,1,MBA,818,Sun Belt,596551,Ga. Southern
2025,1,MBA,818,Sun Belt,596552,Georgia St.
2025,1,MBA,821,ACC,596553,Georgia Tech
2025,1,MBA,911,SEC,596554,Georgia
2025,1,MBA,922,WCC,596555,Gonzaga
2025,1,MBA,865,Ivy League,596556,Harvard
2025,1,MBA,904,Big West,596557,Hawaii
2025,1,MBA,837,CAA,596558,Hofstra
2025,1,MBA,838,Patriot,596559,Holy Cross
2025,1,MBA,914,Southland,596560,Houston Christian
2025,1,MBA,25354,Big 12,596561,Houston
2025,1,MBA,884,MVC,596562,Illinois St.
2025,1,MBA,827,Big Ten,596563,Illinois
2025,1,MBA,884,MVC,596564,UIC
2025,1,MBA,884,MVC,596565,Indiana St.
2025,1,MBA,827,Big Ten,596566,Indiana
2025,1,MBA,881,Horizon,596567,Purdue Fort Wayne
2025,1,MBA,871,MAAC,596568,Iona
2025,1,MBA,827,Big Ten,596569,Iowa
2025,1,MBA,916,SWAC,596570,Jackson St.
2025,1,MBA,24312,CUSA,596571,Jacksonville St.
2025,1,MBA,920,ASUN,596572,Jacksonville
2025,1,MBA,818,Sun Belt,596573,James Madison
2025,1,MBA,25354,Big 12,596574,Kansas St.
2025,1,MBA,25354,Big 12,596575,Kansas
2025,1,MBA,875,MAC,596576,Kent St.
2025,1,MBA,911,SEC,596577,Kentucky
2025,1,MBA,838,Patriot,596578,Lafayette
2025,1,MBA,914,Southland,596579,Lamar University
2025,1,MBA,838,Patriot,596580,Lehigh
