player_name,canonical_id,pitcher_idx,espn_id,throws,bats,position,source
Aidan Rasmussen,NCAA_614785,4874,,,,RP,pitcher_table
Drew Lafferty,NCAA_614710,4873,99140,R,,SP,pitcher_table
Valentin,BSB_SOUTH_CAROLINA,4872,,,,RP,pitcher_table
Karsten Sweum,BSB_GONZAGA,4871,,L,,SP,pitcher_table
Quincy Thornton,NCAA_614745,4870,,,,RP,pitcher_table
Davis Webb,NCAA_614866,4869,,,,RP,pitcher_table
Sam Staerker,NCAA_614578,4868,88856,R,,RP,pitcher_table
Drew Deremer,NCAA_614673,4867,,,,SP,pitcher_table
Enger Paulino,NCAA_614723,4866,,,,SP,pitcher_table
Loper Bobby,NCAA_614826,4865,,,,RP,pitcher_table
Montgomery,BSB_UC_SANTA_BARBARA,4864,,,,SP,pitcher_table
A. Abler,NCAA_614617,4863,,,,SP,pitcher_table
Shane Brinham,BSB_MICHIGAN,4862,99105,L,,SP,pitcher_table
Ty Uber,BSB_NOTRE_DAME,4861,99056,R,,SP,pitcher_table
Stormy Rhodes,NCAA_614775,4860,87207,,,RP,pitcher_table
Brady LeJeuneDeAcutis,NCAA_614653,4859,,,,SP,pitcher_table
Daniel Gonzalez,NCAA_614737,4858,99088,R,,SP,pitcher_table
Lundari,NCAA_614736,4857,,R,,SP,pitcher_table
Oliv Pudvar,NCAA_614587,4856,,L,,SP,pitcher_table
Frese,BSB_IOWA,4855,,R,,RP,pitcher_table
Payton Allen,NCAA_614771,4854,,,,RP,pitcher_table
Young,NCAA_614843,4853,,,,SP,pitcher_table
Jayden Lopez,NCAA_614631,4852,,,,SP,pitcher_table
Math NAYRAL,BSB_KANSAS,4851,,,,SP,pitcher_table
Alvarez,NCAA_614684,4850,,,,SP,pitcher_table
Liam OBrien,NCAA_614618,4849,,,,SP,pitcher_table
Brinham,BSB_MICHIGAN,4848,,L,,RP,pitcher_table
Gonzalez,NCAA_614737,4847,,R,,SP,pitcher_table
Jackson Vanesko,NCAA_614869,4846,,,,SP,pitcher_table
Ryker Walton,NCAA_614858,4845,,,,SP,pitcher_table
T Uber,BSB_NOTRE_DAME,4844,,R,,SP,pitcher_table
Reese,NCAA_614619,4843,,,,SP,pitcher_table
George Katsaros,NCAA_614722,4842,,R,,RP,pitcher_table
Boyd,NCAA_614818,4841,,,,SP,pitcher_table
Ben Green,NCAA_614699,4840,,R,,SP,pitcher_table
Eddie Del Valle-Zayas,NCAA_614594,4839,,,,SP,pitcher_table
Luke Parise,NCAA_614724,4838,,,,SP,pitcher_table
Jairus Miller,NCAA_614657,4837,,,,SP,pitcher_table
Wade Cooper,NCAA_614747,4836,,R,,RP,pitcher_table
Zach Nalawadi,NCAA_614850,4835,,,,SP,pitcher_table
Kyle Rudolph,NCAA_614662,4834,,,,SP,pitcher_table
Thomas Shurtleff,NCAA_614777,4833,67406,R,,RP,pitcher_table
J. GARLAND,NCAA_614643,4832,,R,,RP,pitcher_table
Ryan Furey,NCAA_614835,4831,,,,SP,pitcher_table
Owen Slater,NCAA_614746,4830,,R,,SP,pitcher_table
Jarvis Evans,BSB_PURDUE,4829,,L,,SP,pitcher_table
B. Kaufman,NCAA_614713,4828,,R,,SP,pitcher_table
Andrew STEINHAUS,NCAA_614716,4827,,,,SP,pitcher_table
Maloney,NCAA_614717,4826,,,,RP,pitcher_table
Owen Phypers,NCAA_614799,4825,,R,,SP,pitcher_table
Zach Evans,NCAA_614792,4824,,,,RP,pitcher_table
David Leslie,NCAA_614710,4823,99141,,,SP,pitcher_table
Josh McDevitt,NCAA_614746,4822,,,,SP,pitcher_table
Dylan Loy,BSB_GEORGIA_TECH,4821,99022,,,SP,pitcher_table
Caden Crowell,BSB_NOTRE_DAME,4820,99043,L,,SP,pitcher_table
Ryland Bozenhard,NCAA_614737,4819,99083,R,,SP,pitcher_table
George Adams,NCAA_614605,4818,96781,,,SP,pitcher_table
Jack Roventi,NCAA_614803,4817,,,,SP,pitcher_table
Jackson Blakely,BSB_GEORGIA_TECH,4816,90921,,,SP,pitcher_table
Alex Petrovic,BSB_AUBURN,4815,,R,,SP,pitcher_table
E. Dipasquale,NCAA_614758,4814,,,,SP,pitcher_table
Harrigan,NCAA_614586,4813,,R,,RP,pitcher_table
Castillo,NCAA_614684,4812,,,,SP,pitcher_table
Hekili Robello,NCAA_614618,4811,,,,SP,pitcher_table
Alagheband,NCAA_614617,4810,,,,SP,pitcher_table
Keyon Guillory,NCAA_614771,4809,,,,SP,pitcher_table
Jake Carvajal,NCAA_614683,4808,,,,RP,pitcher_table
Vincent Spizzoucco,NCAA_614710,4807,99150,,,SP,pitcher_table
Trevor Nikolis,NCAA_614835,4806,,,,SP,pitcher_table
Cal RUTHERFORD,NCAA_614600,4805,,R,,RP,pitcher_table
Nick Perry,NCAA_614792,4804,,,,RP,pitcher_table
Davenport,NCAA_614843,4803,,,,SP,pitcher_table
BLAKELY,BSB_GEORGIA_TECH,4802,,,,SP,pitcher_table
Dom VOEGELE,BSB_KANSAS,4801,,R,,SP,pitcher_table
Bozenhard,NCAA_614737,4800,,R,,SP,pitcher_table
Gauge Lockhart,NCAA_614732,4799,,,,SP,pitcher_table
Zach Robinson,NCAA_614653,4798,,,,SP,pitcher_table
Aceves,BSB_UC_SANTA_BARBARA,4797,,,,SP,pitcher_table
Feidt,NCAA_614723,4796,,,,SP,pitcher_table
Jackson Sanders,BSB_AUBURN,4795,,L,,SP,pitcher_table
Charli West,NCAA_614587,4794,,L,,SP,pitcher_table
Jace Terry,NCAA_621265,4793,,,,SP,pitcher_table
Bedford,NCAA_614619,4792,,,,SP,pitcher_table
Adam Merritt,NCAA_614656,4791,,,,RP,pitcher_table
Ian Koosman,NCAA_614590,4790,,,,SP,pitcher_table
Lopez,NCAA_614586,4789,,R,,SP,pitcher_table
Hawks,NCAA_614671,4788,,,,SP,pitcher_table
Dylan Scudder,NCAA_614869,4787,,,,SP,pitcher_table
C Crowell,BSB_NOTRE_DAME,4786,,L,,SP,pitcher_table
Breckin NACE,NCAA_614716,4785,,,,SP,pitcher_table
Stephen Christopher,NCAA_614818,4784,,,,RP,pitcher_table
Carter Monke,NCAA_614662,4783,,,,SP,pitcher_table
Brock Lucas,NCAA_614746,4782,96440,R,,RP,pitcher_table
Zach Erdman,BSB_PURDUE,4781,,L,,SP,pitcher_table
Landon Hood,BSB_GONZAGA,4780,,R,,SP,pitcher_table
Jake Marciano,BSB_AUBURN,4779,,L,,SP,pitcher_table
LOY,BSB_GEORGIA_TECH,4778,,,,SP,pitcher_table
